dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae
ETTh2,96,720,1.5584525315213982e-14,6.68762538680312e-08
ETTh2,192,720,1.3769825835390371e-14,6.283563180886631e-08
ETTh2,336,720,9.355180746826314e-15,4.6482192317398585e-08
ETTm1,96,720,5.318673696992973e-14,1.2886778222309658e-07
ETTm1,192,720,5.040155711408603e-14,1.2545346805836743e-07
ETTm1,336,720,3.373612627861726e-14,9.520660171347117e-08
Weather,96,720,9.387192663001896e-15,5.335837371944763e-08
Weather,192,720,0.0,0.0
Weather,336,720,0.0,0.0
