dataset,horizon,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,candidate_mae,r3_mae,relative_mae_vs_r3_pct,candidate_wins_mae_vs_r3,is_observed_gap
ETTh2,96,0.30998495221138,0.30479592084884644,1.7024608951728304,False,0.35827383399009705,0.35886070132255554,-0.16353624966334301,True,False
ETTh2,192,0.3815028965473175,0.3690433204174042,3.376182534836558,False,0.4021228849887848,0.4003613591194153,0.43998398677733697,False,False
ETTh2,336,0.39181041717529297,0.3829101622104645,2.324371574117823,False,0.4173024892807007,0.41559359431266785,0.4111937699278423,False,False
ETTh2,720,0.42357203364372253,0.41047340631484985,3.1911025482672883,False,0.44529521465301514,0.43929871916770935,1.3650154720839414,False,False
ETTm1,96,0.3006436228752136,0.2986849546432495,0.6557639417437588,False,0.3513682782649994,0.35228273272514343,-0.25957969982522977,True,True
ETTm1,192,0.33062273263931274,0.32966214418411255,0.2913857329835512,False,0.37215909361839294,0.3730504512786865,-0.2389375638706004,True,False
ETTm1,336,0.3607330620288849,0.36072883009910583,0.0011731609524723297,False,0.3910888731479645,0.3924419581890106,-0.3447860283059878,True,False
ETTm1,720,0.4152347147464752,0.41729286313056946,-0.4932143743494266,True,0.4224247932434082,0.4242476224899292,-0.42966162917371653,True,False
Weather,96,0.15361642837524414,0.14802636206150055,3.776399173696565,False,0.200615793466568,0.19702932238578796,1.8202727580606703,False,True
Weather,192,0.1986016482114792,0.19240911304950714,3.218420928107868,False,0.24348865449428558,0.23990498483181,1.4937870778249929,False,False
Weather,336,0.2520277500152588,0.24479345977306366,2.955262877080833,False,0.2841852605342865,0.28043317794799805,1.3379595858604931,False,False
Weather,720,0.33040857315063477,0.3208470046520233,2.98010215460216,False,0.33820903301239014,0.3337559103965759,1.3342453203369242,False,False
