dataset,epochs_recorded,best_val_mean_mse,last_val_mean_mse,steps_per_epoch_effective,target_horizons,use_window_position,model_variant
ETTh2,12,0.3649838753044605,0.43529506027698517,248,"96,192,336,720",False,regime_segment_operator
ETTm1,11,0.6064998060464859,0.7639173716306686,1056,"96,192,336,720",False,regime_segment_operator
Weather,12,0.5272746756672859,0.6220389902591705,1129,"96,192,336,720",False,regime_segment_operator
