comparison,dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
stbo_bank4_vs_a6_clean,ETTh2,4,0,4.585048152747195,2.4978946240803603
stbo_bank4_vs_a6_clean,ETTm1,4,0,1.358964204602514,0.8753991596508914
stbo_bank4_vs_a6_clean,Weather,4,3,-0.005377610296766755,0.04635779590246303
stbo_bank4_vs_a6_clean,ALL,12,3,1.9795449156843143,1.1398838598779049
stbo_bank4_vs_stbo_dct,ETTh2,4,0,0.78301837457877,0.6229722980038044
stbo_bank4_vs_stbo_dct,ETTm1,4,0,0.4438194201751011,0.6705840305591626
stbo_bank4_vs_stbo_dct,Weather,4,4,-0.03648365914572238,0.08135801681665722
stbo_bank4_vs_stbo_dct,ALL,12,4,0.3967847118693829,0.45830478179320805
stbo_bank4_vs_stbo_independent,ETTh2,4,0,1.2393506827565348,0.5429566774076411
stbo_bank4_vs_stbo_independent,ETTm1,4,4,-0.4751026070767106,-0.6700563612516558
stbo_bank4_vs_stbo_independent,Weather,4,4,-0.19200193330613236,-0.22049813916183159
stbo_bank4_vs_stbo_independent,ALL,12,8,0.19074871412456396,-0.11586594100194876
stbo_bank4_vs_stbo_shared,ETTh2,4,0,1.1884470847534523,0.3284732088269293
stbo_bank4_vs_stbo_shared,ETTm1,4,0,0.08732174733850906,-0.09470301215715182
stbo_bank4_vs_stbo_shared,Weather,4,4,-0.15582764697573692,-0.18129795865234333
stbo_bank4_vs_stbo_shared,ALL,12,4,0.3733137283720748,0.01749074600581139
stbo_dct_vs_a6_clean,ETTh2,4,0,3.772747040731228,1.863602292522959
stbo_dct_vs_a6_clean,ETTm1,4,0,0.9113554030628801,0.20343098783517088
stbo_dct_vs_a6_clean,Weather,4,2,0.031108292950807193,-0.03495941701831262
stbo_dct_vs_a6_clean,ALL,12,2,1.5717369122483051,0.6773579544466057
stbo_independent_vs_a6_clean,ETTh2,4,0,3.3046205835414897,1.9447329069854136
stbo_independent_vs_a6_clean,ETTm1,4,0,1.8433714312243443,1.5559595122924486
stbo_independent_vs_a6_clean,Weather,4,0,0.1869351114185236,0.267471048917195
stbo_independent_vs_a6_clean,ALL,12,0,1.7783090420614527,1.2560544893983523
stbo_shared_vs_a6_clean,ETTh2,4,0,3.35874909019061,2.162802285272064
stbo_shared_vs_a6_clean,ETTm1,4,0,1.2705729240496788,0.9710320596487076
stbo_shared_vs_a6_clean,Weather,4,0,0.15065638997365238,0.22806870264596157
stbo_shared_vs_a6_clean,ALL,12,0,1.5933261347379806,1.120634349188911
stbo_shared_vs_stbo_dct,ETTh2,4,2,-0.398950535628223,0.29363238552353454
stbo_shared_vs_stbo_dct,ETTm1,4,0,0.3561794561027398,0.7660146721091887
stbo_shared_vs_stbo_dct,Weather,4,0,0.11954612591928981,0.2631442064823075
stbo_shared_vs_stbo_dct,ALL,12,2,0.025591682131268872,0.44093042137167693
stbo_shared_vs_stbo_independent,ETTh2,4,2,0.05106670217338294,0.21382519535497746
stbo_shared_vs_stbo_independent,ETTm1,4,4,-0.5619418444505836,-0.5759030819539435
stbo_shared_vs_stbo_independent,Weather,4,3,-0.03623404897926674,-0.03927466391083767
stbo_shared_vs_stbo_independent,ALL,12,9,-0.18236973041882246,-0.1337841835032679
