length,global_rank,atoms,global_atoms,detail_atoms,depth_groups,orthogonality_max_abs,nested_inclusion_max_abs,global_projector_max_abs,detail_prototype_moment_max_abs,support_max_abs,a6_morphism_max_abs,prefix_cases,prefix_max_abs
1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
2,2,2,2,0,1,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,2,0.0
3,3,3,3,0,1,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,3,0.0
5,4,5,4,1,2,5.551115123125783e-16,0.0,5.551115123125783e-16,3.4597801654170387e-16,0.0,8.881784197001252e-15,5,8.881784197001252e-15
7,4,7,4,3,2,2.743563629112078e-16,0.0,5.551115123125783e-16,7.634861593048175e-16,0.0,3.552713678800501e-15,7,3.552713678800501e-15
16,4,16,4,12,3,4.440892098500626e-16,5.828670879282072e-16,4.996003610813204e-16,4.0245584642661925e-16,0.0,1.5987211554602254e-14,16,1.5987211554602254e-14
96,8,96,8,88,5,1.4432899320127035e-15,6.38378239159465e-16,4.440892098500626e-16,5.028824147665259e-16,0.0,2.4868995751603507e-14,6,2.4868995751603507e-14
720,1,720,1,719,11,3.219646771412954e-15,4.163336342344337e-16,7.806255641895632e-18,1.5265566588595902e-16,0.0,7.105427357601002e-15,12,7.105427357601002e-15
720,4,720,4,716,9,3.219646771412954e-15,4.440892098500626e-16,3.165870343657673e-17,6.577156512578668e-16,0.0,3.552713678800501e-14,12,3.552713678800501e-14
720,8,720,8,712,8,3.219646771412954e-15,1.1969591984239969e-15,1.5265566588595902e-16,2.8170437228631777e-16,0.0,2.4868995751603507e-14,12,2.4868995751603507e-14
720,16,720,16,704,7,3.3606026036261e-15,2.6575963651964685e-15,1.429412144204889e-15,7.262048867002993e-16,0.0,1.0480505352461478e-13,12,1.0480505352461478e-13
721,16,721,16,705,7,3.2993025428856107e-15,2.6020852139652106e-15,1.1934897514720433e-15,1.0901780780925675e-15,0.0,2.1316282072803006e-13,13,2.1405099914773018e-13
