length,global_rank,interval_nodes,raw_restriction_max_condition,stable_coordinate_max_condition,raw_nodes_above_1e12,stable_nodes_above_1e12
96,8,191,288861397835277.2,5.8250317456644005,2,0
720,4,1439,65864408372690.03,2.77651957314412,2,0
720,8,1439,2.0258495830418867e+17,8.29133438890893,134,0
720,16,1439,2.7118635486413667e+17,1783.6280345020953,131,0
721,16,1441,3.1100484537458944e+17,1783.6635809057475,131,0
