length,global_rank,horizon,active_atoms,inactive_atoms,active_to_horizon_ratio,conservative_active_bound,bound_pass,prefix_max_abs
1,1,1,1,0,1.0,1,True,0.0
2,2,1,2,0,2.0,2,True,0.0
2,2,2,2,0,1.0,2,True,0.0
3,3,1,3,0,3.0,3,True,0.0
3,3,2,3,0,1.5,3,True,0.0
3,3,3,3,0,1.0,3,True,0.0
5,4,1,5,0,5.0,5,True,8.881784197001252e-15
5,4,2,5,0,2.5,5,True,8.881784197001252e-15
5,4,3,5,0,1.6666666666666667,5,True,8.881784197001252e-15
5,4,4,5,0,1.25,5,True,8.881784197001252e-15
5,4,5,5,0,1.0,5,True,8.881784197001252e-15
7,4,1,7,0,7.0,7,True,3.552713678800501e-15
7,4,2,7,0,3.5,7,True,3.552713678800501e-15
7,4,3,7,0,2.3333333333333335,7,True,3.552713678800501e-15
7,4,4,7,0,1.75,7,True,3.552713678800501e-15
7,4,5,7,0,1.4,7,True,3.552713678800501e-15
7,4,6,7,0,1.1666666666666667,7,True,3.552713678800501e-15
7,4,7,7,0,1.0,7,True,3.552713678800501e-15
16,4,1,12,4,12.0,16,True,1.7763568394002505e-15
16,4,2,12,4,6.0,16,True,7.105427357601002e-15
16,4,3,12,4,4.0,16,True,1.3211653993039363e-14
16,4,4,12,4,3.0,16,True,1.3211653993039363e-14
16,4,5,12,4,2.4,16,True,1.3211653993039363e-14
16,4,6,12,4,2.0,16,True,1.3211653993039363e-14
16,4,7,12,4,1.7142857142857142,16,True,1.3211653993039363e-14
16,4,8,12,4,1.5,16,True,1.3211653993039363e-14
16,4,9,16,0,1.7777777777777777,16,True,1.3211653993039363e-14
16,4,10,16,0,1.6,16,True,1.3211653993039363e-14
16,4,11,16,0,1.4545454545454546,16,True,1.5987211554602254e-14
16,4,12,16,0,1.3333333333333333,16,True,1.5987211554602254e-14
16,4,13,16,0,1.2307692307692308,16,True,1.5987211554602254e-14
16,4,14,16,0,1.1428571428571428,16,True,1.5987211554602254e-14
16,4,15,16,0,1.0666666666666667,16,True,1.5987211554602254e-14
16,4,16,16,0,1.0,16,True,1.5987211554602254e-14
96,8,1,36,60,36.0,65,True,6.439293542825908e-15
96,8,5,36,60,7.2,69,True,1.2434497875801753e-14
96,8,12,36,60,3.0,76,True,2.4868995751603507e-14
96,8,24,40,56,1.6666666666666667,88,True,2.4868995751603507e-14
96,8,48,56,40,1.1666666666666667,96,True,2.4868995751603507e-14
96,8,96,96,0,1.0,96,True,2.4868995751603507e-14
720,1,1,10,710,10.0,12,True,7.105427357601002e-15
720,1,5,12,708,2.4,16,True,7.105427357601002e-15
720,1,48,55,665,1.1458333333333333,59,True,7.105427357601002e-15
720,1,90,93,627,1.0333333333333334,101,True,7.105427357601002e-15
720,1,96,103,617,1.0729166666666667,107,True,7.105427357601002e-15
720,1,144,149,571,1.0347222222222223,155,True,7.105427357601002e-15
720,1,180,182,538,1.011111111111111,191,True,7.105427357601002e-15
720,1,192,199,521,1.0364583333333333,203,True,7.105427357601002e-15
720,1,336,339,381,1.0089285714285714,347,True,7.105427357601002e-15
720,1,360,361,359,1.0027777777777778,371,True,7.105427357601002e-15
720,1,512,516,204,1.0078125,523,True,7.105427357601002e-15
720,1,720,720,0,1.0,720,True,7.105427357601002e-15
720,4,1,33,687,33.0,45,True,2.1316282072803006e-14
720,4,5,33,687,6.6,49,True,2.1316282072803006e-14
720,4,48,74,646,1.5416666666666667,92,True,2.4868995751603507e-14
720,4,90,102,618,1.1333333333333333,134,True,3.552713678800501e-14
720,4,96,121,599,1.2604166666666667,140,True,3.552713678800501e-14
720,4,144,162,558,1.125,188,True,3.552713678800501e-14
720,4,180,188,532,1.0444444444444445,224,True,3.552713678800501e-14
720,4,192,216,504,1.125,236,True,3.552713678800501e-14
720,4,336,345,375,1.0267857142857142,380,True,3.552713678800501e-14
720,4,360,364,356,1.011111111111111,404,True,3.552713678800501e-14
720,4,512,525,195,1.025390625,556,True,3.552713678800501e-14
720,4,720,720,0,1.0,720,True,3.552713678800501e-14
720,8,1,59,661,59.0,89,True,7.105427357601002e-15
720,8,5,59,661,11.8,93,True,1.4210854715202004e-14
720,8,48,96,624,2.0,136,True,1.7763568394002505e-14
720,8,90,114,606,1.2666666666666666,178,True,1.7763568394002505e-14
720,8,96,141,579,1.46875,184,True,1.9539925233402755e-14
720,8,144,178,542,1.2361111111111112,232,True,2.1316282072803006e-14
720,8,180,196,524,1.0888888888888888,268,True,2.1316282072803006e-14
720,8,192,234,486,1.21875,280,True,1.9539925233402755e-14
720,8,336,353,367,1.0505952380952381,424,True,2.1316282072803006e-14
720,8,360,368,352,1.0222222222222221,448,True,1.9539925233402755e-14
720,8,512,533,187,1.041015625,600,True,2.4868995751603507e-14
720,8,720,720,0,1.0,720,True,2.4868995751603507e-14
720,16,1,102,618,102.0,177,True,1.0302869668521453e-13
720,16,5,102,618,20.4,181,True,1.0302869668521453e-13
720,16,48,131,589,2.7291666666666665,224,True,1.0480505352461478e-13
720,16,90,138,582,1.5333333333333334,266,True,1.0480505352461478e-13
720,16,96,176,544,1.8333333333333333,272,True,1.0480505352461478e-13
720,16,144,205,515,1.4236111111111112,320,True,1.0480505352461478e-13
720,16,180,212,508,1.1777777777777778,356,True,1.0480505352461478e-13
720,16,192,266,454,1.3854166666666667,368,True,1.0480505352461478e-13
720,16,336,369,351,1.0982142857142858,512,True,1.0480505352461478e-13
720,16,360,376,344,1.0444444444444445,536,True,1.0480505352461478e-13
720,16,512,549,171,1.072265625,688,True,1.0480505352461478e-13
720,16,720,720,0,1.0,720,True,1.0480505352461478e-13
721,16,1,102,619,102.0,177,True,7.105427357601002e-15
721,16,5,102,619,20.4,181,True,2.113864638886298e-13
721,16,48,131,590,2.7291666666666665,224,True,2.1316282072803006e-13
721,16,90,138,583,1.5333333333333334,266,True,2.1316282072803006e-13
721,16,96,176,545,1.8333333333333333,272,True,2.1316282072803006e-13
721,16,144,205,516,1.4236111111111112,320,True,2.1316282072803006e-13
721,16,180,212,509,1.1777777777777778,356,True,2.1316282072803006e-13
721,16,192,266,455,1.3854166666666667,368,True,2.1316282072803006e-13
721,16,336,369,352,1.0982142857142858,512,True,2.1316282072803006e-13
721,16,360,376,345,1.0444444444444445,536,True,2.1405099914773018e-13
721,16,512,549,172,1.072265625,688,True,2.1316282072803006e-13
721,16,720,721,0,1.0013888888888889,721,True,2.1316282072803006e-13
721,16,721,721,0,1.0,721,True,2.1316282072803006e-13
