reference_model,cells,iscf_mean_mse,reference_mean_mse,iscf_mse_gain_pct,mse_cell_wins,mse_dataset_mean_wins,mse_horizon_mean_wins,iscf_mean_mae,reference_mean_mae,iscf_mae_gain_pct,mae_cell_wins,mae_dataset_mean_wins,mae_horizon_mean_wins
DLinear,28,0.2633648360994906,0.30017857142857146,12.263945142346993,27,7,4,0.31063268833798247,0.3386428571428572,8.271300638435902,28,7,4
PatchTST,28,0.2633648360994906,0.27953571428571433,5.7849059564873535,26,7,4,0.31063268833798247,0.32646428571428565,4.849411733251168,27,7,4
TimeAlign,28,0.2633648360994906,0.26928571428571424,2.198734604963696,15,4,3,0.31063268833798247,0.3104285714285715,-0.0657532612000355,10,2,2
TimeMixer,28,0.2633648360994906,0.2829285714285715,6.91472594312377,26,7,4,0.31063268833798247,0.3320357142857144,6.446001145923345,28,7,4
iTransformer,28,0.2633648360994906,0.29182142857142856,9.751371793100768,28,7,4,0.31063268833798247,0.33607142857142847,7.569444490292117,28,7,4
BestPublishedPerCell,28,0.2633648360994906,0.2687857142857143,2.016802939333832,14,4,3,0.31063268833798247,0.3102142857142858,-0.13487535647602247,9,2,2
