reference_model,dataset,horizon,iscf_mse,reference_mse,iscf_mse_gain_pct,iscf_mse_better,iscf_mae,reference_mae,iscf_mae_gain_pct,iscf_mae_better
TimeAlign,ETTh2,336,0.3122683312867567,0.36,13.258796864789806,True,0.3711865635745016,0.399,6.970786071553493,True
TimeAlign,ETTh2,720,0.39405488596768706,0.388,-1.5605376205378998,False,0.42976343582293,0.428,-0.4120177156378462,False
TimeAlign,ETTm1,96,0.2659839500967137,0.279,4.665250861392941,True,0.32657150986453487,0.33,1.0389364046864076,True
TimeAlign,ETTm1,192,0.3050110151558611,0.322,5.27608224973258,True,0.35059004880365885,0.356,1.5196492124553749,True
TimeAlign,ETTm1,336,0.34448984367496216,0.35,1.5743303785822338,True,0.3727244693263644,0.375,0.6068081796361646,True
TimeAlign,ETTm1,720,0.4073109251765397,0.407,-0.07639439227020756,False,0.4056298297188275,0.406,0.09117494610160903,True
TimeAlign,ETTm2,96,0.16482805302126763,0.155,-6.340679368559761,False,0.25273665076675506,0.241,-4.8699795712676615,False
TimeAlign,ETTm2,192,0.22002506020844229,0.21,-4.773838194496331,False,0.29008308674664257,0.28,-3.6011024095151942,False
TimeAlign,ETTm2,336,0.27199806035622454,0.263,-3.4213157248001993,False,0.3243258909319827,0.315,-2.960600295867529,False
TimeAlign,ETTm2,720,0.34654469330025783,0.343,-1.033438279958544,False,0.374409720985492,0.372,-0.6477744584655982,False
TimeAlign,Solar,96,0.167700193326123,0.172,2.4998876010912787,True,0.20640240926784012,0.2,-3.2012046339200544,False
TimeAlign,Solar,192,0.18903195982433438,0.189,-0.016909959965278627,False,0.2187165708035257,0.213,-2.683836057993284,False
TimeAlign,Solar,336,0.2017798262231888,0.204,1.088320478829015,True,0.22636423194391095,0.219,-3.362662988087191,False
TimeAlign,Solar,720,0.20891001186372837,0.202,-3.420797952340772,False,0.2305895664505895,0.224,-2.941770736870313,False
TimeAlign,Weather,96,0.14222577492130595,0.14,-1.5898392295042383,False,0.18478927998310826,0.179,-3.234234627434788,False
TimeAlign,Weather,192,0.18473849256232838,0.182,-1.5046662430375755,False,0.2270952313470781,0.22,-3.2251051577627705,False
TimeAlign,Weather,336,0.2342568922170196,0.232,-0.9727983694049911,False,0.266989207141845,0.262,-1.904277535055334,False
TimeAlign,Weather,720,0.30507612726922745,0.307,0.626668641945455,True,0.31724848099363157,0.317,-0.07838517149260608,False
TimeMixer,ECL,96,0.11663950298585234,0.142,17.859504939540603,True,0.21472730680317825,0.247,13.06586769102095,True
TimeMixer,ECL,192,0.13723967367501683,0.168,18.30971805058523,True,0.2335060312019973,0.269,13.194783939777958,True
TimeMixer,ECL,336,0.1557729557008436,0.171,8.904704268512525,True,0.25096009617021126,0.26,3.4768860883802897,True
TimeMixer,ECL,720,0.1930232838722036,0.209,7.6443617836346345,True,0.28148528866257083,0.313,10.06859787138312,True
TimeMixer,ETTh1,96,0.35291844758101404,0.372,5.129449574996226,True,0.39065923911104444,0.401,2.5787433638293216,True
TimeMixer,ETTh1,192,0.3794334112106912,0.413,8.12750333881569,True,0.40591062276327566,0.43,5.602180752726588,True
TimeMixer,ETTh1,336,0.3961510935400803,0.438,9.55454485386294,True,0.418583873432822,0.45,6.981361459372892,True
TimeMixer,ETTh1,720,0.45379835461460316,0.486,6.625852959958195,True,0.46615386658053315,0.484,3.6872176486501727,True
TimeMixer,ETTh2,96,0.2405494467507989,0.281,14.395214679431007,True,0.3144207512151374,0.351,10.421438400245748,True
TimeMixer,ETTh2,192,0.28245514440266534,0.349,19.067293867431133,True,0.34509201304952075,0.387,10.828937196506267,True
TimeMixer,ETTh2,336,0.3122683312867567,0.366,14.680783801432598,True,0.3711865635745016,0.413,10.124318747094044,True
TimeMixer,ETTh2,720,0.39405488596768706,0.401,1.7319486364870222,True,0.42976343582293,0.436,1.4304046277683544,True
TimeMixer,ETTm1,96,0.2659839500967137,0.293,9.220494847537976,True,0.32657150986453487,0.345,5.341591343613074,True
TimeMixer,ETTm1,192,0.3050110151558611,0.335,8.951935774369826,True,0.35059004880365885,0.372,5.755363224822889,True
TimeMixer,ETTm1,336,0.34448984367496216,0.368,6.388629436151586,True,0.3727244693263644,0.386,3.4392566512009393,True
TimeMixer,ETTm1,720,0.4073109251765397,0.426,4.387106766070486,True,0.4056298297188275,0.417,2.7266595398495177,True
TimeMixer,ETTm2,96,0.16482805302126763,0.165,0.1042102901408358,True,0.25273665076675506,0.256,1.2747457942363085,True
TimeMixer,ETTm2,192,0.22002506020844229,0.225,2.2110843518034313,True,0.29008308674664257,0.298,2.656682299784368,True
TimeMixer,ETTm2,336,0.27199806035622454,0.277,1.805754384034472,True,0.3243258909319827,0.332,2.311478634944969,True
TimeMixer,ETTm2,720,0.34654469330025783,0.36,3.7375851943728207,True,0.374409720985492,0.387,3.2533020709322966,True
TimeMixer,Solar,96,0.167700193326123,0.179,6.312741158590505,True,0.20640240926784012,0.232,11.033444281103401,True
TimeMixer,Solar,192,0.18903195982433438,0.201,5.954248843614743,True,0.2187165708035257,0.259,15.5534475662063,True
TimeMixer,Solar,336,0.2017798262231888,0.19,-6.199908538520417,False,0.22636423194391095,0.256,11.576471896909787,True
TimeMixer,Solar,720,0.20891001186372837,0.203,-2.9113358934622457,False,0.2305895664505895,0.261,11.651507107053833,True
TimeMixer,Weather,96,0.14222577492130595,0.147,3.247772162376901,True,0.18478927998310826,0.198,6.672080816611993,True
TimeMixer,Weather,192,0.18473849256232838,0.192,3.7820351237873027,True,0.2270952313470781,0.243,6.545172285153045,True
TimeMixer,Weather,336,0.2342568922170196,0.247,5.159152948575063,True,0.266989207141845,0.284,5.989715795124996,True
TimeMixer,Weather,720,0.30507612726922745,0.318,4.0641109216265905,True,0.31724848099363157,0.33,3.8640966685965,True
iTransformer,ECL,96,0.11663950298585234,0.138,15.47862102474469,True,0.21472730680317825,0.237,9.397760842540817,True
iTransformer,ECL,192,0.13723967367501683,0.157,12.586195111454252,True,0.2335060312019973,0.256,8.786706561719802,True
iTransformer,ECL,336,0.1557729557008436,0.167,6.72278101745893,True,0.25096009617021126,0.264,4.93935751128362,True
iTransformer,ECL,720,0.1930232838722036,0.194,0.5034619215445365,True,0.28148528866257083,0.286,1.5785703977024983,True
iTransformer,ETTh1,96,0.35291844758101404,0.386,8.570350367612946,True,0.39065923911104444,0.405,3.540928614556934,True
iTransformer,ETTh1,192,0.3794334112106912,0.424,10.510987922006795,True,0.40591062276327566,0.44,7.747585735619168,True
iTransformer,ETTh1,336,0.3961510935400803,0.449,11.77035778617365,True,0.418583873432822,0.46,9.003505775473483,True
iTransformer,ETTh1,720,0.45379835461460316,0.495,8.323564724322594,True,0.46615386658053315,0.487,4.280520209336107,True
iTransformer,ETTh2,96,0.2405494467507989,0.297,19.00692028592629,True,0.3144207512151374,0.348,9.64920942093752,True
iTransformer,ETTh2,192,0.28245514440266534,0.371,23.866537896855704,True,0.34509201304952075,0.403,14.369227531136294,True
iTransformer,ETTh2,336,0.3122683312867567,0.404,22.705858592386967,True,0.3711865635745016,0.428,13.274167389135142,True
iTransformer,ETTh2,720,0.39405488596768706,0.424,7.062526894413426,True,0.42976343582293,0.444,3.206433373213971,True
iTransformer,ETTm1,96,0.2659839500967137,0.3,11.338683301095424,True,0.32657150986453487,0.353,7.486824400981618,True
iTransformer,ETTm1,192,0.3050110151558611,0.345,11.5910100997504,True,0.35059004880365885,0.382,8.222500313178314,True
iTransformer,ETTm1,336,0.34448984367496216,0.374,7.890416129689262,True,0.3727244693263644,0.398,6.350635847647144,True
iTransformer,ETTm1,720,0.4073109251765397,0.429,5.0557283970769875,True,0.4056298297188275,0.43,5.667481460737791,True
iTransformer,ETTm2,96,0.16482805302126763,0.175,5.812541130704206,True,0.25273665076675506,0.266,4.986221516257503,True
iTransformer,ETTm2,192,0.22002506020844229,0.242,9.080553632875086,True,0.29008308674664257,0.312,7.024651683768407,True
iTransformer,ETTm2,336,0.27199806035622454,0.282,3.5467871077217863,True,0.3243258909319827,0.34,4.610032078828619,True
iTransformer,ETTm2,720,0.34654469330025783,0.378,8.3215097089265,True,0.374409720985492,0.398,5.927205782539698,True
iTransformer,Solar,96,0.167700193326123,0.188,10.797769507381389,True,0.20640240926784012,0.232,11.033444281103401,True
iTransformer,Solar,192,0.18903195982433438,0.193,2.0559793656298586,True,0.2187165708035257,0.248,11.80783435341706,True
iTransformer,Solar,336,0.2017798262231888,0.203,0.6010708260153781,True,0.22636423194391095,0.249,9.090669902043794,True
iTransformer,Solar,720,0.20891001186372837,0.223,6.318380330166651,True,0.2305895664505895,0.261,11.651507107053833,True
iTransformer,Weather,96,0.14222577492130595,0.159,10.549827093518273,True,0.18478927998310826,0.208,11.159000008121025,True
iTransformer,Weather,192,0.18473849256232838,0.2,7.630753718835814,True,0.2270952313470781,0.248,8.429342198758832,True
iTransformer,Weather,336,0.2342568922170196,0.253,7.408342997225459,True,0.266989207141845,0.289,7.616191300399652,True
iTransformer,Weather,720,0.30507612726922745,0.321,4.960708015816997,True,0.31724848099363157,0.338,6.139502664606052,True
