reference_model,dataset,horizon,iscf_mse,reference_mse,iscf_mse_gain_pct,iscf_mse_better,iscf_mae,reference_mae,iscf_mae_gain_pct,iscf_mae_better
DLinear,ECL,96,0.11663950298585234,0.14,16.686069295819767,True,0.21472730680317825,0.237,9.397760842540817,True
DLinear,ECL,192,0.13723967367501683,0.152,9.710741003278402,True,0.2335060312019973,0.249,6.222477428916743,True
DLinear,ECL,336,0.1557729557008436,0.17,8.368849587739067,True,0.25096009617021126,0.267,6.007454617898412,True
DLinear,ECL,720,0.1930232838722036,0.203,4.914638486599216,True,0.28148528866257083,0.301,6.483292803132611,True
DLinear,ETTh1,96,0.35291844758101404,0.379,6.881676099996296,True,0.39065923911104444,0.403,3.0622235456465465,True
DLinear,ETTh1,192,0.3794334112106912,0.408,7.00161489934039,True,0.40591062276327566,0.419,3.12395638107979,True
DLinear,ETTh1,336,0.3961510935400803,0.44,9.965660559072655,True,0.418583873432822,0.44,4.867301492540456,True
DLinear,ETTh1,720,0.45379835461460316,0.471,3.652154009638389,True,0.46615386658053315,0.493,5.445463168248852,True
DLinear,ETTh2,96,0.2405494467507989,0.289,16.764897318062662,True,0.3144207512151374,0.353,10.928965661434157,True
DLinear,ETTh2,192,0.28245514440266534,0.383,26.2519205214973,True,0.34509201304952075,0.418,17.442102141262975,True
DLinear,ETTh2,336,0.3122683312867567,0.448,30.29724748063467,True,0.3711865635745016,0.465,20.17493256462332,True
DLinear,ETTh2,720,0.39405488596768706,0.605,34.86696099707652,True,0.42976343582293,0.551,22.00300620273504,True
DLinear,ETTm1,96,0.2659839500967137,0.3,11.338683301095424,True,0.32657150986453487,0.345,5.341591343613074,True
DLinear,ETTm1,192,0.3050110151558611,0.336,9.222912155993725,True,0.35059004880365885,0.366,4.210369179328182,True
DLinear,ETTm1,336,0.34448984367496216,0.367,6.133557581754178,True,0.3727244693263644,0.386,3.4392566512009393,True
DLinear,ETTm1,720,0.4073109251765397,0.419,2.789755327794813,True,0.4056298297188275,0.416,2.4928293945126168,True
DLinear,ETTm2,96,0.16482805302126763,0.164,-0.5049103788217206,False,0.25273665076675506,0.255,0.8875879346058623,True
DLinear,ETTm2,192,0.22002506020844229,0.224,1.7745266926596959,True,0.29008308674664257,0.304,4.577931991235993,True
DLinear,ETTm2,336,0.27199806035622454,0.277,1.805754384034472,True,0.3243258909319827,0.337,3.76086322493095,True
DLinear,ETTm2,720,0.34654469330025783,0.371,6.591726873245866,True,0.374409720985492,0.401,6.630992272944638,True
DLinear,Solar,96,0.167700193326123,0.197,14.872998311612701,True,0.20640240926784012,0.21,1.7131384438856534,True
DLinear,Solar,192,0.18903195982433438,0.218,13.288091823699826,True,0.2187165708035257,0.222,1.479022160574015,True
DLinear,Solar,336,0.2017798262231888,0.234,13.769305032825304,True,0.22636423194391095,0.231,2.006825998306953,True
DLinear,Solar,720,0.20891001186372837,0.243,14.02880170216939,True,0.2305895664505895,0.241,4.319681970709746,True
DLinear,Weather,96,0.14222577492130595,0.17,16.337779458055333,True,0.18478927998310826,0.23,19.65683478995293,True
DLinear,Weather,192,0.18473849256232838,0.216,14.472920110033154,True,0.2270952313470781,0.273,16.814933572498873,True
DLinear,Weather,336,0.2342568922170196,0.258,9.202754954643572,True,0.266989207141845,0.307,13.032831549887625,True
DLinear,Weather,720,0.30507612726922745,0.323,5.549186603954353,True,0.31724848099363157,0.362,12.362298068057576,True
PatchTST,ECL,96,0.11663950298585234,0.129,9.581780631122221,True,0.21472730680317825,0.222,3.2759879264962835,True
PatchTST,ECL,192,0.13723967367501683,0.147,6.639677772097391,True,0.2335060312019973,0.24,2.705820332501117,True
PatchTST,ECL,336,0.1557729557008436,0.163,4.433769508684914,True,0.25096009617021126,0.259,3.10420997289141,True
PatchTST,ECL,720,0.1930232838722036,0.197,2.0186376283230474,True,0.28148528866257083,0.29,2.9361073577341896,True
PatchTST,ETTh1,96,0.35291844758101404,0.377,6.387679686733677,True,0.39065923911104444,0.397,1.5971689896613541,True
PatchTST,ETTh1,192,0.3794334112106912,0.409,7.22899481401193,True,0.40591062276327566,0.428,5.161069447832787,True
PatchTST,ETTh1,336,0.3961510935400803,0.431,8.085593146153055,True,0.418583873432822,0.444,5.724352830445498,True
PatchTST,ETTh1,720,0.45379835461460316,0.457,0.7005788589489839,True,0.46615386658053315,0.477,2.273822519804367,True
PatchTST,ETTh2,96,0.2405494467507989,0.274,12.208231112847125,True,0.3144207512151374,0.337,6.700073823401369,True
PatchTST,ETTh2,192,0.28245514440266534,0.348,18.834728619923748,True,0.34509201304952075,0.384,10.132288268353973,True
PatchTST,ETTh2,336,0.3122683312867567,0.377,17.17020390271706,True,0.3711865635745016,0.416,10.772460679206345,True
PatchTST,ETTh2,720,0.39405488596768706,0.406,2.9421463133775774,True,0.42976343582293,0.441,2.547973736297059,True
PatchTST,ETTm1,96,0.2659839500967137,0.293,9.220494847537976,True,0.32657150986453487,0.346,5.615170559382979,True
PatchTST,ETTm1,192,0.3050110151558611,0.333,8.40510055379547,True,0.35059004880365885,0.37,5.245932755767877,True
PatchTST,ETTm1,336,0.34448984367496216,0.369,6.642318787273125,True,0.3727244693263644,0.369,-1.0093412808575577,False
PatchTST,ETTm1,720,0.4073109251765397,0.416,2.0887199094856403,True,0.4056298297188275,0.42,3.421469114564878,True
PatchTST,ETTm2,96,0.16482805302126763,0.166,0.7059921558628794,True,0.25273665076675506,0.256,1.2747457942363085,True
PatchTST,ETTm2,192,0.22002506020844229,0.223,1.3340537181873173,True,0.29008308674664257,0.296,1.998957180188316,True
PatchTST,ETTm2,336,0.27199806035622454,0.274,0.7306349064874035,True,0.3243258909319827,0.329,1.4207018443821569,True
PatchTST,ETTm2,720,0.34654469330025783,0.362,4.269421740260264,True,0.374409720985492,0.385,2.750721821950126,True
PatchTST,Solar,96,0.167700193326123,0.178,5.786408243751126,True,0.20640240926784012,0.229,9.867943551161524,True
PatchTST,Solar,192,0.18903195982433438,0.189,-0.016909959965278627,False,0.2187165708035257,0.246,11.090824876615573,True
PatchTST,Solar,336,0.2017798262231888,0.198,-1.9090031430246397,False,0.22636423194391095,0.249,9.090669902043794,True
PatchTST,Solar,720,0.20891001186372837,0.209,0.043056524531874724,True,0.2305895664505895,0.256,9.925950605238476,True
PatchTST,Weather,96,0.14222577492130595,0.149,4.5464597843584205,True,0.18478927998310826,0.198,6.672080816611993,True
PatchTST,Weather,192,0.18473849256232838,0.194,4.773972906016301,True,0.2270952313470781,0.241,5.769613548930247,True
PatchTST,Weather,336,0.2342568922170196,0.245,4.3849419522368995,True,0.266989207141845,0.282,5.322976190835102,True
PatchTST,Weather,720,0.30507612726922745,0.314,2.8419976849594115,True,0.31724848099363157,0.334,5.015424852206123,True
TimeAlign,ECL,96,0.11663950298585234,0.126,7.428965884244178,True,0.21472730680317825,0.216,0.5892098133434004,True
TimeAlign,ECL,192,0.13723967367501683,0.143,4.028200227260952,True,0.2335060312019973,0.233,-0.21718077338939826,False
TimeAlign,ECL,336,0.1557729557008436,0.158,1.409521708326839,True,0.25096009617021126,0.249,-0.7871872169523118,False
TimeAlign,ECL,720,0.1930232838722036,0.189,-2.1287216255045522,False,0.28148528866257083,0.278,-1.253700957759283,False
TimeAlign,ETTh1,96,0.35291844758101404,0.362,2.508716137841423,True,0.39065923911104444,0.387,-0.9455398219753055,False
TimeAlign,ETTh1,192,0.3794334112106912,0.404,6.080838809234861,True,0.40591062276327566,0.412,1.47800418367095,True
TimeAlign,ETTh1,336,0.3961510935400803,0.424,6.568138316018788,True,0.418583873432822,0.43,2.654913155157674,True
TimeAlign,ETTh1,720,0.45379835461460316,0.433,-4.803315153488029,False,0.46615386658053315,0.451,-3.3600591087656624,False
TimeAlign,ETTh2,96,0.2405494467507989,0.266,9.567877161353804,True,0.3144207512151374,0.328,4.140014873433722,True
TimeAlign,ETTh2,192,0.28245514440266534,0.33,14.407531999192328,True,0.34509201304952075,0.372,7.233329825397647,True
