scope,mean_abs_gamma,mean_abs_beta,mean_segment_state_norm,std_segment_state_norm
all,0.6891041994094849,0.04906856268644333,7.872758865356445,1.5084975957870483
segment_0,0.6739017963409424,0.048922549933195114,8.227596282958984,1.361088752746582
segment_1,0.6955029964447021,0.049290746450424194,7.741245269775391,1.5189905166625977
segment_2,0.7009591460227966,0.0486331582069397,7.871942043304443,1.5625441074371338
segment_3,0.6860530376434326,0.04942779615521431,7.650252819061279,1.519244909286499
