baseline,dataset,horizon,repeat,seed_contract,mse,mae,checkpoint,checkpoint_sha256,test_role
SimpleTM,Weather,96,0,fix_seed_2025_advancing_rng_across_itr,0.1575382947921753,0.20403316617012024,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_96_32_32_4_db4_None_1_0.3_5e-05_0.01_TST_256_2025_1_0/checkpoint.pth,4b260f78949b1d25cf4df315d047062a796f54b2f425bd996a19a108432d1091,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,96,1,fix_seed_2025_advancing_rng_across_itr,0.159091979265213,0.20475539565086365,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_96_32_32_4_db4_None_1_0.3_5e-05_0.01_TST_256_2025_1_1/checkpoint.pth,f22579ce70195b0b9cc2aa98935509fef4e9a13367035ca0aabcc46c5343a6e4,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,96,2,fix_seed_2025_advancing_rng_across_itr,0.1556415557861328,0.20211321115493774,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_96_32_32_4_db4_None_1_0.3_5e-05_0.01_TST_256_2025_1_2/checkpoint.pth,c5a6e2f560b1d136d46d51d727dd681d3012e61f9cfeaf05033faf20a6b9add2,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,192,0,fix_seed_2025_advancing_rng_across_itr,0.20450793206691742,0.24749693274497986,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_192_32_32_4_db4_None_1_0.3_0.0_0.009_TST_256_2025_1_0/checkpoint.pth,b5038875cc85d0130ba7602984c107b036ef1ba6b95d3d07fb20266f24d745f3,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,192,1,fix_seed_2025_advancing_rng_across_itr,0.20394021272659302,0.24709545075893402,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_192_32_32_4_db4_None_1_0.3_0.0_0.009_TST_256_2025_1_1/checkpoint.pth,fd130893e971ba6770917d486b07fdf8260fe9a306f06a1813edd012579cd072,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,192,2,fix_seed_2025_advancing_rng_across_itr,0.20626530051231384,0.24919942021369934,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_192_32_32_4_db4_None_1_0.3_0.0_0.009_TST_256_2025_1_2/checkpoint.pth,973e843222523102130013326c28e2077abff48f775d035bc2ba60f13619dc68,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,336,0,fix_seed_2025_advancing_rng_across_itr,0.26367366313934326,0.2906109392642975,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_336_32_32_1_db4_None_3_1.0_5e-05_0.009_TST_256_2025_1_0/checkpoint.pth,703cb00e2ba2a101557ec8e1df383d42d4d4e6c028d2519c84d17e482c90bfb7,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,336,1,fix_seed_2025_advancing_rng_across_itr,0.26390403509140015,0.2905957102775574,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_336_32_32_1_db4_None_3_1.0_5e-05_0.009_TST_256_2025_1_1/checkpoint.pth,601f4e9b5b01dfb3da3bc689580218498ed7ae9c4cb5151f86f18bb27b6f8d88,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,336,2,fix_seed_2025_advancing_rng_across_itr,0.26413851976394653,0.2906959652900696,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_336_32_32_1_db4_None_3_1.0_5e-05_0.009_TST_256_2025_1_2/checkpoint.pth,abea41f3e0a946441142737376f025f10a078ad329ed321c55099aa90b3ece4c,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,720,0,fix_seed_2025_advancing_rng_across_itr,0.3445400595664978,0.34319281578063965,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_720_32_32_1_db4_None_1_0.9_0.005_0.02_TST_256_2025_1_0/checkpoint.pth,23ac68dba87eee87b5acfff90abf5b8a7855ff4b03071133f9349c2520df4937,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,720,1,fix_seed_2025_advancing_rng_across_itr,0.34728166460990906,0.344551146030426,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_720_32_32_1_db4_None_1_0.9_0.005_0.02_TST_256_2025_1_1/checkpoint.pth,6d2660d913173af246366de3e3530e16da411bb9699346712427f2d5b0111499,official_test_once_after_validation_selected_checkpoint
SimpleTM,Weather,720,2,fix_seed_2025_advancing_rng_across_itr,0.3454514145851135,0.3433725833892822,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__Weather/workspace/source/checkpoints/Weather_custom_96_720_32_32_1_db4_None_1_0.9_0.005_0.02_TST_256_2025_1_2/checkpoint.pth,280af0bf1153211b29b687c6b585de0fecfc6dc659b8aa3db495eec922c69643,official_test_once_after_validation_selected_checkpoint
