arm,reference,metric,macro_gain_percent,cell_wins,dataset_wins,horizon_wins
pcsd_direct,a6_full,mse,-0.8561637734125077,10,2,0
pcsd_direct,a6_full,mae,-0.5961999346074631,6,1,0
dense_measure,a6_full,mse,0.869567880751072,12,3,4
dense_measure,a6_full,mae,0.6828418343711035,14,3,4
pcsd_measure,a6_full,mse,1.0218954027714378,14,3,4
pcsd_measure,a6_full,mae,0.6802851203324223,15,4,4
pcsd_equal,a6_full,mse,1.057788111779775,17,5,4
pcsd_equal,a6_full,mae,0.3977657678698049,14,3,4
pcsd_prior,a6_full,mse,1.147187500257394,16,5,4
pcsd_prior,a6_full,mae,0.4476665446935846,13,4,4
pcsd_pcc,a6_full,mse,1.226584608988341,17,5,4
pcsd_pcc,a6_full,mae,0.49848462177023767,14,4,4
siff_equal,a6_full,mse,1.6435773728978327,17,4,4
siff_equal,a6_full,mae,0.9083527627092691,16,5,4
siff_prior,a6_full,mse,1.2087606228575782,14,4,4
siff_prior,a6_full,mae,0.29679528114147313,11,3,4
siff_pcc,a6_full,mse,1.3812014269883943,16,4,4
siff_pcc,a6_full,mae,0.5535001226369296,12,4,4
siff_constant_pcc,a6_full,mse,0.6831245871448693,13,3,4
siff_constant_pcc,a6_full,mae,-0.059795444460097325,10,3,2
siff_permuted_pcc,a6_full,mse,1.086723410113219,14,4,4
siff_permuted_pcc,a6_full,mae,0.36340713236718114,11,3,4
siff_q1_wide_pcc,a6_full,mse,0.5095789019079622,15,4,4
siff_q1_wide_pcc,a6_full,mae,0.00864334180601889,12,2,1
siff_independent_pcc,a6_full,mse,1.2020281315940355,16,4,4
siff_independent_pcc,a6_full,mae,0.8307090050003663,13,4,4
