segment_a,segment_b,cosine
0,1,0.1557522714138031
0,2,0.07193084806203842
0,3,0.16881150007247925
0,4,0.08173825591802597
0,5,0.10648751258850098
0,6,0.02914125844836235
0,7,0.008943457156419754
0,8,0.09300234913825989
0,9,0.1480620801448822
0,10,0.04821988567709923
0,11,0.007503573317080736
0,12,0.02945113368332386
0,13,-0.03449052944779396
0,14,-0.07442647218704224
1,2,0.24478745460510254
1,3,0.12505587935447693
1,4,0.087798573076725
1,5,0.0050223832949995995
1,6,-0.005376868415623903
1,7,-0.04694228991866112
1,8,0.05770548805594444
1,9,-0.10978712886571884
1,10,0.18875226378440857
1,11,0.03974365070462227
1,12,0.10837700217962265
1,13,-0.14151892066001892
1,14,0.0833359807729721
2,3,0.06364943832159042
2,4,0.12870846688747406
2,5,0.15395180881023407
2,6,0.06297573447227478
2,7,-0.0029748256783932447
2,8,0.1176546961069107
2,9,0.04777461662888527
2,10,0.22337473928928375
2,11,0.09178946912288666
2,12,-0.014919468201696873
2,13,0.0707632526755333
2,14,0.08782358467578888
3,4,-0.00036542362067848444
3,5,0.09768536686897278
3,6,0.027210965752601624
3,7,-0.023074345663189888
3,8,0.1370357722043991
3,9,0.028462793678045273
3,10,0.03961708024144173
3,11,0.07380926609039307
3,12,0.01493163499981165
3,13,-0.04797862470149994
3,14,0.1029374748468399
4,5,-0.07510333508253098
4,6,0.1086103692650795
4,7,0.1383359432220459
4,8,-0.033152986317873
4,9,0.14032824337482452
4,10,0.10088388621807098
4,11,0.0018203462241217494
4,12,-0.0226505808532238
4,13,0.004709484986960888
4,14,0.030951935797929764
5,6,0.05660046637058258
5,7,0.050893425941467285
5,8,0.13294680416584015
5,9,0.10822834074497223
5,10,0.0765182301402092
5,11,0.15984752774238586
5,12,0.21962574124336243
5,13,0.09805527329444885
5,14,0.0017559919506311417
6,7,0.05102153494954109
6,8,0.0729190856218338
6,9,0.13088124990463257
6,10,0.057214513421058655
6,11,0.07140281796455383
6,12,0.13027776777744293
6,13,0.05616636574268341
6,14,0.2682516276836395
7,8,0.11467868834733963
7,9,0.2721008360385895
7,10,0.0952531099319458
7,11,0.07614081352949142
7,12,-0.15197525918483734
7,13,-0.06307477504014969
7,14,-0.02172105200588703
8,9,0.18285585939884186
8,10,0.05203071981668472
8,11,0.024247700348496437
8,12,0.18671266734600067
8,13,0.02591727301478386
8,14,0.0701315775513649
9,10,0.17136047780513763
9,11,0.10176388919353485
9,12,0.08299055695533752
9,13,0.013084569945931435
9,14,-0.006916085258126259
10,11,0.019183935597538948
10,12,0.01081883255392313
10,13,0.036167044192552567
10,14,0.05750151351094246
11,12,0.1367333084344864
11,13,0.17315582931041718
11,14,0.050599489361047745
12,13,0.1770089566707611
12,14,-0.05052679032087326
13,14,0.028555914759635925
