epoch,train_loss,mse,mae
1,0.6422494434113998,0.6756446361541748,0.4592328667640686
2,0.6034495463080731,0.6573218703269958,0.44679248332977295
3,0.59376218957713,0.6648672223091125,0.45299020409584045
4,0.5868027970782318,0.6640845537185669,0.4536627531051636
5,0.5801095321614255,0.6800282001495361,0.4595460295677185
6,0.5748988737128542,0.675256609916687,0.45994970202445984
7,0.569498560548256,0.6706811189651489,0.45592403411865234
8,0.5636194387858059,0.6658809781074524,0.4560815393924713
9,0.5577040262333381,0.6923518776893616,0.47094836831092834
10,0.5509412736234699,0.6820603609085083,0.46315282583236694
11,0.5440737840095301,0.6947014927864075,0.47184517979621887
12,0.5376158400462092,0.6918953061103821,0.46870723366737366
