dataset,short_horizon,long_horizon,aligned_origins,nchpd_l1,chpd_l2,relative_disagreement_amplitude
Weather,96,192,4551,0.0074953241273760796,0.00018461620493326336,0.0196162611246109
Weather,96,336,4551,0.009365539997816086,0.00046708862646482885,0.03119019605219364
Weather,96,720,4551,0.0067010847851634026,0.00011510804324643686,0.015492474660277367
Weather,192,336,4551,0.010850993916392326,0.0003338750102557242,0.0249751228839159
Weather,192,720,4551,0.010743104852735996,0.00037989913835190237,0.026656221598386765
Weather,336,720,4551,0.011094223707914352,0.0006260423106141388,0.032620906829833984
