scope,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
all,0.7155529856681824,0.4158652126789093,6.9582929611206055,0.8307088613510132,8.927176475524902
segment_0,0.5538662075996399,0.39133089780807495,8.398698806762695,0.7383177280426025,8.927176475524902
segment_1,0.5957543253898621,0.39626383781433105,7.967360973358154,0.7472421526908875,8.927176475524902
segment_2,0.5471106171607971,0.3883686661720276,7.6023664474487305,0.7695153951644897,8.927176475524902
segment_3,0.5822728276252747,0.3926019072532654,6.956377029418945,0.7481618523597717,8.927176475524902
segment_4,0.6599284410476685,0.39923739433288574,7.145242691040039,0.5959687232971191,8.927176475524902
segment_5,0.9400351047515869,0.44683244824409485,7.002726078033447,0.43445247411727905,8.927176475524902
segment_6,0.6621151566505432,0.40812647342681885,6.9896769523620605,0.5353392362594604,8.927176475524902
segment_7,0.9361804723739624,0.4512489438056946,6.480160713195801,0.4735676944255829,8.927176475524902
segment_8,0.6352120637893677,0.4094350337982178,6.633865833282471,0.540518045425415,8.927176475524902
segment_9,0.9276906251907349,0.45509830117225647,6.511115550994873,0.5218364000320435,8.927176475524902
segment_10,0.6205090284347534,0.4046432077884674,6.4655656814575195,0.5637441277503967,8.927176475524902
segment_11,0.9256337285041809,0.45594364404678345,6.533655166625977,0.5136849880218506,8.927176475524902
segment_12,0.6200699806213379,0.39819130301475525,6.5280890464782715,0.5737455487251282,8.927176475524902
segment_13,0.9108496308326721,0.44816854596138,6.391037464141846,0.43022769689559937,8.927176475524902
segment_14,0.6160662770271301,0.3924875259399414,6.768464088439941,0.5788012146949768,8.927176475524902
