dataset,arm,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,pred_loss_mode,prefix_samples,val_mean_mse,lr,epoch_seconds
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,1,0.7538171676935348,0.4451433512489353,0.5384560169371884,0.2146520588250287,0.9402175627451027,multi-prefix,1,0.4184652268886566,0.0005,12.69979977607727
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,2,0.6373755905480512,0.41512795517929885,0.5085801546816278,0.13003995457449846,0.9220768189535732,multi-prefix,1,0.42061493918299675,0.0004877641290737884,11.85190200805664
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,3,0.5950940028492329,0.40481613629159674,0.49612520147213895,0.09862438319003687,0.9165348223352854,multi-prefix,1,0.4383084774017334,0.0004522542485937369,12.185373306274414
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,4,0.56470784320768,0.3982566777056297,0.4873854375518529,0.07512018577385265,0.9133097990951707,multi-prefix,1,0.4340018182992935,0.0003969463130731183,12.060943126678467
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,5,0.5358170898614731,0.3910336799062459,0.4784436703255746,0.05368771102378326,0.9109569518967012,multi-prefix,1,0.43651849031448364,0.00032725424859373687,12.322145223617554
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,6,0.5149773559739105,0.3873494854279324,0.47353892634927697,0.03670846822514998,0.909194018461008,multi-prefix,1,0.4445038139820099,0.00025,11.908341646194458
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,7,0.5010952465565859,0.38384491653568975,0.46948158899239734,0.026520342912228233,0.9072998508942866,multi-prefix,1,0.4537544324994087,0.00017274575140626317,11.855818748474121
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,8,0.49362338063991174,0.3820552182408561,0.46663018151194646,0.021010246284437917,0.9055791441845683,multi-prefix,1,0.45917730033397675,0.00010305368692688174,12.236527681350708
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,9,0.48756561738199894,0.37919979456779174,0.4642781578334032,0.01790385231359211,0.9046196850527705,multi-prefix,1,0.45788075774908066,4.7745751406263163e-05,12.756571292877197
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,10,0.48496397419840886,0.37794212126626375,0.4626536580313623,0.01660192783806572,0.9041992386357974,multi-prefix,1,0.45605070888996124,1.2235870926211617e-05,12.228157043457031
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,1,1.407175505023205,0.3364016408798317,0.3986854372855319,0.1343265521883044,0.9364473127030037,multi-prefix,1,0.18581654503941536,0.0001,56.09881830215454
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,2,1.2865403859541684,0.3165098206790948,0.38197140887552244,0.07505100137737497,0.894979563056272,multi-prefix,1,0.18475323170423508,9.755282581475769e-05,57.04423713684082
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,3,1.255940874916246,0.3127643215581487,0.37845988778764217,0.05703107882506829,0.8861454758634899,multi-prefix,1,0.18590206280350685,9.045084971874738e-05,54.662078619003296
