dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_a2_nested_pct,beats_a2_nested,relative_mae_vs_a2_nested_pct,relative_mse_vs_h1_target_set_pct,beats_h1_target_set,relative_mae_vs_h1_target_set_pct,relative_mse_vs_h1c_row_gated_pct,beats_h1c_row_gated,relative_mae_vs_h1c_row_gated_pct,relative_mse_vs_fixed_pct,beats_fixed,relative_mae_vs_fixed_pct
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,96,0.24342790246009827,0.3157418966293335,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.12118495296310483,True,-0.01558107059413949,1.0150809321116672,False,1.0117439950940277,0.5282972889149251,False,0.2935381840089013,-9.745555390547512,True,-4.625765682653505
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,192,0.2837498188018799,0.346354216337204,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.21123089316269494,True,-0.09136591265718197,2.351290358263669,False,1.5606035303081578,0.6676948003544902,False,0.3400783780120209,-15.196980209792766,True,-7.5462449001834075
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,336,0.312313973903656,0.37105315923690796,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.06475110210381052,True,-0.08925819403140522,2.8939973220801996,False,1.4253089524397966,0.43327258182597195,False,0.21287778603238383,-16.69226033117145,True,-8.152580370783758
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,720,0.39292728900909424,0.42892152070999146,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.17228677953491367,False,0.05141530427001939,1.2546498628416725,False,0.6747667401966417,0.08069032661894848,False,-0.014554359072227463,-2.5603849560579706,True,-1.4282280019861981
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,96,0.16148346662521362,0.24726638197898865,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.3114481885420184,True,-0.20873831131608123,0.17611518665325843,False,0.429661508412571,0.041412469861490386,False,0.06192904077644279,4.23186104126716,False,2.5438640128314427
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,192,0.21514351665973663,0.283765584230423,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.18339991558681268,True,-0.15548810187805406,-0.19212172354587942,True,0.18852704995413472,0.00037401346157928117,False,0.022564340673225658,2.332868732810045,False,1.1075906354355958
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,336,0.26575231552124023,0.31770655512809753,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.08001739966646548,True,-0.1060179574591924,-0.2098720199213866,True,0.10715507821728032,0.015825913604428088,False,0.019158560165721816,0.9308165508027155,False,0.23821055673136637
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,720,0.3405262231826782,0.3698236644268036,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.016302026587788898,True,-0.052980874935093514,-0.41978046476086606,True,0.044406050929102214,-0.042227309950637615,True,0.02255283048904211,-0.8848756099621657,True,-0.47833539954635906
Weather,dense_initialized_nested_segment_decoder_multiprefix,96,0.14129576086997986,0.18138982355594635,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.0012128136823941205,False,0.014854913587214469,-0.21107621296208023,True,0.151541254944898,-0.09117201397430552,True,-0.05243343781977661,0.6188001272936061,False,1.739758295814653
Weather,dense_initialized_nested_segment_decoder_multiprefix,192,0.1824847310781479,0.22301383316516876,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.0020659655449284386,False,0.01376623923385889,0.03385012774257401,False,0.25776194862083823,-0.05704570340168136,True,-0.04845907035120334,0.13744595664888504,False,1.333616353989786
