dataset,region,region_total_variance,top1_region_variance_ratio,top2_region_variance_ratio,top4_region_variance_ratio,top8_region_variance_ratio,top16_region_variance_ratio,top32_region_variance_ratio,top64_region_variance_ratio,top128_region_variance_ratio
ETTh2,1-96,96.1416991609452,0.45073008081108773,0.6107471908654806,0.719549870559573,0.7831890642059911,0.8677817390738464,0.91503975384302,0.946807447324086,0.9674388575325497
ETTh2,97-192,97.94207251006463,0.5324732727157019,0.669353097063344,0.7101305747264105,0.7876532640133126,0.875193598191441,0.9154320153696339,0.9471831219686276,0.9680209847480411
ETTh2,193-336,147.4078354756721,0.5840169296271029,0.6298514340971333,0.7171912071736642,0.7924228906651509,0.8752924145354563,0.9153618938634458,0.9472772192545779,0.9682425956381425
ETTh2,337-720,391.1727253078044,0.5370208087769003,0.6299093143193146,0.713951489467977,0.7900422326309311,0.8737718298456024,0.9161795759269493,0.948095253201388,0.9684043366301557
ETTm1,1-96,95.72319706832347,0.5308541873023667,0.6047763033161861,0.7344407911873054,0.8248139397289451,0.8826251366965469,0.9400328064396178,0.966388526674427,0.9789317387098506
ETTm1,97-192,95.56160894006553,0.5548730658347257,0.6283025944797443,0.7560367002372035,0.8050615403135128,0.8907956883681181,0.939723525676962,0.9669907155409506,0.978865744096171
ETTm1,193-336,143.43066987127642,0.57400790927708,0.6457778132471207,0.7410866205594846,0.8156681088527147,0.875967888245341,0.9401710389891521,0.9665187381644966,0.9788633552568284
ETTm1,337-720,382.3696785389714,0.5543991738656378,0.6299744102970407,0.7404024088681649,0.8144161176121688,0.8791116550273798,0.9397818170711576,0.9664947945143989,0.9788012198700471
Weather,1-96,96.41437228743312,0.37750477754392403,0.46903174646855395,0.6227800125710393,0.7242412270942775,0.7900343413383778,0.8328711516776786,0.865547076317741,0.8948773962872909
Weather,97-192,96.44326214599666,0.4131850083656086,0.5117638838262799,0.6678433689738561,0.7237288836896327,0.7906936832995946,0.8330625158396604,0.8654704888815077,0.8947464513415958
Weather,193-336,144.7477672940389,0.4366442291641447,0.5184016073379314,0.6422811907470031,0.7191932491248124,0.7894637996582385,0.8327502015798627,0.8652824835099098,0.8952630513796299
Weather,337-720,385.58497025501697,0.4120434137982563,0.49843401634127876,0.6390801732835291,0.7207419973999198,0.7897629632869977,0.832454248773355,0.8650998881119788,0.8949752788243632
