dataset,component,eigenvalue,variance_ratio,peak_step,signed_sum,total_abs_loading,energy_1_96,energy_97_192,energy_193_336,energy_337_720
ETTh2,1,391.64205651186177,0.5345450012556611,324,26.7841264438366,26.7841264438366,0.11064683966292993,0.1331612246919482,0.21981467527829657,0.5363772603668242
ETTh2,2,71.88242549369753,0.09811099341070062,666,-0.03495486992034458,24.574511616011176,0.214020558568967,0.18650307901194996,0.09399189089160001,0.505484471527482
ETTh2,3,34.916615944561364,0.04765704347526756,360,-1.3562735668422183,24.545930904620967,0.16395845079666999,0.08023152072112327,0.17781427139204464,0.5779957570901617
ETTh2,4,25.28726282239234,0.03451411745086306,691,0.03568802387213976,24.28197321020679,0.18727215653914386,0.047154865544803706,0.26360679379608487,0.5019661841199673
ETTh2,5,16.537725905470847,0.022572036296714598,524,-0.6375436254530635,24.283325643089945,0.11324169299616155,0.08784903897949112,0.2006339433435126,0.5982753246808341
ETTh2,6,14.976796311081724,0.020441552355780993,430,0.015769058864172347,24.053192907363908,0.06650914032763476,0.1662814771886853,0.2451472144559138,0.5220621680277664
ETTh2,7,12.727451160377802,0.0173714627512162,707,-0.4843490883463992,24.068753444583745,0.15169414296677836,0.18113314035897782,0.12513207026977008,0.5420406464044722
ETTh2,8,10.323502685201554,0.014090357927779773,115,0.03797128010501982,22.82134104032412,0.12775184230933595,0.13020605089128345,0.24289994652938068,0.4991421602699977
ETTh2,9,10.041139490770203,0.01370496562475144,121,-0.00663245603278631,24.114647067201837,0.1366292529597064,0.13756401263539822,0.20309871711966648,0.5227080172852274
ETTh2,10,9.984030616240561,0.013627018777880483,127,0.014366735991814927,22.694987149154095,0.11681590773754677,0.15419639720908648,0.2023477203015187,0.5266399747518458
ETTh2,11,9.055792275111152,0.012360083429711243,103,-0.22244476796473017,24.23558944006409,0.13358009061171422,0.1600035310390522,0.16770396292172945,0.5387124154275031
ETTh2,12,7.620311182250969,0.010400821828902587,640,-0.02121914938807079,22.818342073211657,0.22040102404638928,0.1615685433162592,0.07817219862737795,0.5398582340099735
ETTh2,13,7.023784076024735,0.009586633011729219,324,0.012967269143551174,21.7137105935333,0.007984230156665429,0.09722941114216148,0.34886534236063416,0.5459210163405382
ETTh2,14,7.015830461374624,0.00957577727016,357,-0.005376526875888632,21.893710998291034,0.023246871623981525,0.1020299571141276,0.31842123462904665,0.5563019366328414
ETTh2,15,6.263161619374897,0.008548473484976104,70,-0.20563955061134254,21.650932899009895,0.2873286314960565,0.15255804461192563,0.08193871060773732,0.47817461328427974
ETTh2,16,4.671067406856345,0.006375453533008599,718,-0.011088606357578468,24.127817270910235,0.14701506857389451,0.13244948853597338,0.18070824738450392,0.5398271955056277
ETTm1,1,398.15539574666025,0.5552414427955309,313,26.82857651858496,26.82857651858496,0.1276261995404978,0.133175547776356,0.20677941280848017,0.5324188398746657
ETTm1,2,53.28478944272938,0.074307478148713,458,-0.14922663489727672,24.136827219292517,0.13279702055506265,0.13168943659936105,0.19318844102938842,0.542325101816188
ETTm1,3,53.26845147205175,0.07428469428465312,433,-0.00907287370928156,24.161210842748428,0.12900084444504864,0.13116743944716325,0.2035540727615915,0.5362776433461963
