dataset,selected_origin_index,selected_channel_index,selected_joint_score,macro_nchpd_l1,macro_rda,searched_origin_channel_cells,rank
Weather,1703,14,0.263774037361145,0.00937504523123304,0.025091863858203094,95571,1
ETTh2,805,0,0.1438700407743454,0.026680593844503164,0.07173942836622398,15127,2
ETTm2,4069,3,0.14317284524440765,0.019184752833098173,0.07453492221732934,75607,3
ETTh1,811,4,0.0791175365447998,0.017926329281181097,0.028429824548463028,15127,4
ETTm1,3238,4,0.07062119990587234,0.01616398710757494,0.03306571518381437,75607,5
