dataset,selected_origin_index,supported_winner_count,distinct_winner_count,winner_entropy,qualified_crossing_pair_count,mean_winner_margin,sample_oracle_headroom,best_fixed_scale,rank
ETTm2,4177,5,5,0.9873179343530823,10,0.10266020322507295,0.08112478897187843,720,1
ETTm1,6898,5,5,0.9873179343530823,10,0.0360486043322542,0.0508991207886414,32,2
Weather,211,5,5,0.9873179343530823,10,0.015108875393421657,0.01776667707758615,1,3
ETTh1,1196,5,5,0.9873179343530823,10,0.005683312715962067,0.004231700048622886,32,4
ETTh2,2134,5,5,0.9873179343530822,10,0.01417216759254452,0.01751112933440351,1,5
