dataset,unit_size,unit_count,arm,seed,train_rows,val_rows,test_rows,state_dim,trainable_parameters,epochs,best_epoch,final_epoch_train_mse,best_train_mse,best_val_mse,test_mse,test_val_ratio,prefix_max_abs,test_unit_0_mse,test_unit_1_mse,test_unit_2_mse,test_unit_3_mse
ETTh2,180,4,parallel_no_transition,2021,8192,2048,2048,64,57396,20,1,1979.1005685276455,2154.1245435820683,3.2536534627278644,1.6666266865200468,0.5122323891010649,0.0,1.361010275946723,1.4045938385857477,1.6770033412509495,2.223899163140191
ETTh2,180,4,prefix_causal_composed,2021,8192,2048,2048,64,57396,20,1,1985.6681441201104,2152.9972327126397,3.3613062116834853,2.1185749265882703,0.6302832271645962,0.0,1.0831104702419705,1.7340504116482205,2.3901836607191296,3.2669551213582357
ETTh2,180,4,parallel_no_transition,2022,8192,2048,2048,64,57396,20,1,1977.1743622250028,2153.059408685896,3.3959582010904947,2.08036371866862,0.6125999189273246,0.0,1.6168374909294976,1.7735614564683702,2.130055724249946,2.8010001288519963
ETTh2,180,4,prefix_causal_composed,2022,8192,2048,2048,64,57396,20,10,1980.1016035503812,2063.884360334608,3.3840496910942925,1.415896150800917,0.4184028841323136,0.0,1.4827909045749241,1.130739943186442,1.2611129760742188,1.7889408535427518
ETTh2,180,4,parallel_no_transition,2023,8192,2048,2048,64,57396,20,1,1975.1353640768264,2155.1253837797376,3.0917228062947593,1.38498748143514,0.44796625318909583,0.0,1.1426167805989584,1.1586689843071831,1.3567301962110732,1.8819338162740071
ETTh2,180,4,prefix_causal_composed,2023,8192,2048,2048,64,57396,20,1,1977.6260325961644,2153.4342835744224,3.2541759067111546,1.9223835627237955,0.5907435915677527,0.0,1.0561793433295357,1.590776687198215,2.1138717227511936,2.9287063810560436
ETTh2,240,3,parallel_no_transition,2021,8192,2048,2048,64,61296,20,1,1980.145482497745,2154.122716606988,3.2324209849039716,1.6312362353007,0.5046484486144865,0.0,1.3549312114715577,1.4781514485677083,2.0606260776519774,
ETTh2,240,3,prefix_causal_composed,2021,8192,2048,2048,64,61296,20,1,1981.8142375522189,2153.1730938911437,3.283838060167101,1.9644276512993706,0.5982108786446702,0.0,1.1359799702962239,1.856341584523519,2.9009615103403728,
ETTh2,240,3,parallel_no_transition,2022,8192,2048,2048,64,61296,20,1,1977.3848818567064,2153.012548499637,3.358285183376736,2.027126333448622,0.603619473260564,0.0,1.6135914007822671,1.870455265045166,2.59733247756958,
ETTh2,240,3,prefix_causal_composed,2022,8192,2048,2048,64,61296,20,20,1979.3025839063857,1974.659644709693,3.4133088005913628,2.213715892367893,0.648554239213388,0.0,1.716432007153829,1.7397117137908935,3.1850038369496665,
ETTh2,240,3,parallel_no_transition,2023,8192,2048,2048,64,61296,20,1,1976.2097858640882,2155.202334361606,3.06358159383138,1.3899864514668783,0.4537128876429016,0.0,1.1555135726928711,1.2341114679972331,1.7803343772888183,
ETTh2,240,3,prefix_causal_composed,2023,8192,2048,2048,64,61296,20,1,1976.8230394363404,2153.6962297439577,3.190741178724501,1.8082195070054796,0.5667082993326069,0.0,1.0920552571614583,1.693157164255778,2.6394460360209147,
ETTm1,180,4,parallel_no_transition,2021,8192,2048,2048,64,57396,20,15,1.3277038547727797,1.3726561387379965,2.5309480879041883,0.8214850743611654,0.32457602678110065,0.0,0.7648218525780572,0.8217791027492947,0.8086772600809733,0.8906620873345269
ETTm1,180,4,prefix_causal_composed,2021,8192,2048,2048,64,57396,20,12,1.2777622514300877,1.3840795728895399,2.5352554321289062,0.8559649679395888,0.3376247446675688,0.0,0.7652661429511176,0.8824443923102485,0.8295786539713542,0.9465708202785916
ETTm1,180,4,parallel_no_transition,2022,8192,2048,2048,64,57396,20,12,1.3387234369913736,1.4224921252992417,2.5225480609469946,0.843526734246148,0.3343947127530557,0.0,0.7677470948961046,0.8427839808993869,0.8434390703837077,0.9201367166307237
ETTm1,180,4,prefix_causal_composed,2022,8192,2048,2048,64,57396,20,15,1.2684494813283285,1.3256379922231039,2.531640222337511,0.8970828268263075,0.35434846504295703,0.0,0.7687228202819825,0.8917745272318522,0.8894302050272623,1.038403680589464
ETTm1,180,4,parallel_no_transition,2023,8192,2048,2048,64,57396,20,11,1.3269287904103597,1.4246657053629557,2.5183667712741427,0.836404546101888,0.3321218162669441,0.0,0.7880920728047689,0.840959538353814,0.810546980963813,0.9060196028815375
ETTm1,180,4,prefix_causal_composed,2023,8192,2048,2048,64,57396,20,13,1.2665929449929132,1.3639444298214383,2.536949878268772,0.8501557985941569,0.3351094185488236,0.0,0.7543651368882921,0.8673691961500379,0.8215761290656196,0.9573126686943902
ETTm1,240,3,parallel_no_transition,2021,8192,2048,2048,64,61296,20,20,1.3252030822965835,1.300138203303019,2.5151238759358723,0.8668876647949219,0.34466996758652885,0.0,0.8153743902842204,0.856310510635376,0.9289780696233113,
ETTm1,240,3,prefix_causal_composed,2021,8192,2048,2048,64,61296,20,10,1.2775369114345974,1.414643438657125,2.5063379075792103,0.8197370211283366,0.3270656437224356,0.0,0.7620829264322917,0.813846476872762,0.883281675974528,
ETTm1,240,3,parallel_no_transition,2022,8192,2048,2048,64,61296,20,15,1.3078004625108508,1.3626652161280315,2.5186197916666666,0.8466145303514269,0.3361422526546533,0.0,0.7893812576929728,0.8749606370925903,0.8755015850067138,
ETTm1,240,3,prefix_causal_composed,2022,8192,2048,2048,64,61296,20,10,1.2756249719195896,1.3967314667171902,2.5068435457017686,0.8038290871514214,0.32065387109206156,0.0,0.7470047235488891,0.7952075958251953,0.8692749341328939,
ETTm1,240,3,parallel_no_transition,2023,8192,2048,2048,64,61296,20,15,1.3049351135889689,1.3684115913179187,2.534486770629883,0.8571740468343099,0.3382041905948796,0.0,0.8067688465118408,0.8760666449864706,0.8886865854263306,
ETTm1,240,3,prefix_causal_composed,2023,8192,2048,2048,64,61296,20,13,1.249466273519728,1.349567617310418,2.5084612528483072,0.8447683440314399,0.3367675474644954,0.0,0.7739677429199219,0.8154650449752807,0.944872252146403,
Weather,180,4,parallel_no_transition,2021,8192,2048,2048,64,57396,20,20,1018.0811517715454,1017.7251384947035,11907.878282504611,10.618358527289496,0.0008917086885990669,0.0,5.086088138156467,12.672510104709202,16.153622266981337,8.561215167575412
Weather,180,4,prefix_causal_composed,2021,8192,2048,2048,64,57396,20,20,1017.0741597917345,1016.7193338818021,11903.201476796468,10.296508280436198,0.0008650200788844681,0.0,4.693422614203559,12.138744099934895,15.744988165961372,8.608877648247613
