dataset,unit_size,unit_count,arm,seed,train_rows,val_rows,test_rows,state_dim,memory_source,memory_dim,trainable_parameters,epochs,best_epoch,final_epoch_train_mse,best_train_mse,best_val_mse,test_mse,test_val_ratio,prefix_max_abs,test_unit_0_mse,test_unit_1_mse,test_unit_2_mse,test_unit_3_mse
ETTh2,180,4,parallel_no_transition,2021,4096,1024,1024,64,hidden,1536,139316,20,2,2002.765046013726,2090.920039791531,2.9758564419216578,1.5319220436943901,0.5147835836815946,0.0,1.3812011930677626,1.4579259872436523,1.3702884674072267,1.9182727813720704
ETTh2,180,4,prefix_causal_composed,2021,4096,1024,1024,64,hidden,1536,139316,20,2,2001.5755402882894,2090.9766786151463,2.9561373816596137,1.8583247714572482,0.628632749948164,0.0,1.2689698113335504,1.7375584496392145,1.8777540842692058,2.5490166982014975
ETTh2,180,4,parallel_no_transition,2022,4096,1024,1024,64,hidden,1536,139316,20,2,2004.44768843121,2090.7169584910075,3.129114702012804,1.7311125013563369,0.5532275631324087,0.0,1.5317139943440756,1.5986814710828994,1.5689426845974392,2.2251119401719834
ETTh2,180,4,prefix_causal_composed,2022,4096,1024,1024,64,hidden,1536,139316,20,1,2003.6561036109924,2096.5779399871826,3.125584920247396,1.3314865960015192,0.42599597514571114,0.0,1.2289683024088542,1.2142831378512913,1.1417942894829645,1.740900633070204
ETTh2,180,4,parallel_no_transition,2023,4096,1024,1024,64,hidden,1536,139316,20,2,2005.028266313341,2089.995401128133,3.082162136501736,1.8148389604356554,0.5888200815079454,0.0,1.6332007937961155,1.7452364179823134,1.6472702874077692,2.2336483001708984
ETTh2,180,4,prefix_causal_composed,2023,4096,1024,1024,64,hidden,1536,139316,20,2,2004.4089591556126,2089.969719081455,3.0695074293348523,2.1282572004530165,0.6933546340737151,0.0,1.5174562454223632,1.981885019938151,2.131474346584744,2.8822132958306206
ETTh2,240,3,parallel_no_transition,2021,4096,1024,1024,64,hidden,1536,143216,20,2,2003.335802078247,2090.759002049764,2.9188018374972873,1.4062741385565865,0.48179842855052796,0.0,1.2719309012095132,1.2347476005554199,1.7121440251668294,
ETTh2,240,3,prefix_causal_composed,2021,4096,1024,1024,64,hidden,1536,143216,20,2,2002.1708762274848,2090.8533708148534,2.91938722398546,1.7174320644802517,0.5882851203738794,0.0,1.331427510579427,1.6134991645812988,2.2073695500691732,
ETTh2,240,3,parallel_no_transition,2022,4096,1024,1024,64,hidden,1536,143216,20,2,2005.2456877390543,2090.471586947971,3.1092827690972222,1.707819069756402,0.5492646364396976,0.0,1.5421342213948568,1.4996884346008301,2.0816346168518067,
ETTh2,240,3,prefix_causal_composed,2022,4096,1024,1024,64,hidden,1536,143216,20,1,2004.3175870259604,2096.4716784583197,3.135043504503038,1.345220226711697,0.42909140647633187,0.0,1.280677318572998,1.1145426114400228,1.6404407819112141,
ETTh2,240,3,parallel_no_transition,2023,4096,1024,1024,64,hidden,1536,143216,20,2,2005.5696710798475,2090.054768117269,3.020258585611979,1.7120153215196399,0.5668439549101533,0.0,1.59031130472819,1.5580679893493652,1.9876668294270834,
ETTh2,240,3,prefix_causal_composed,2023,4096,1024,1024,64,hidden,1536,143216,20,2,2004.7144083234998,2090.0945089975994,3.0320291307237413,1.971933322482639,0.6503675385242559,0.0,1.5265902837117513,1.8637063344319662,2.5255033493041994,
