dataset,unit_size,seed,parallel_test_mse,composed_test_mse,composed_vs_parallel_mse_pct,composed_win,parameter_delta,parallel_prefix_max_abs,composed_prefix_max_abs,unit_0_relative_mse_pct,unit_1_relative_mse_pct,unit_2_relative_mse_pct,unit_3_relative_mse_pct
ETTh2,180,2021,1.5319220436943901,1.8583247714572482,21.306745281613914,False,0,0.0,0.0,-8.125636025909955,19.180154880443133,37.03348812547284,32.880825029393314
ETTh2,180,2022,1.7311125013563369,1.3314865960015192,-23.08491822696147,True,0,0.0,0.0,-19.7651580551672,-24.044710605873732,-27.22523896556953,-21.761211126499724
ETTh2,180,2023,1.8148389604356554,2.1282572004530165,17.269754884594523,False,0,0.0,0.0,-7.086976005241985,13.559687359116058,29.394329690663177,29.036128723134258
ETTh2,240,2021,1.4062741385565865,1.7174320644802517,22.126406039368728,False,0,0.0,0.0,4.677660501316305,30.674411827608104,28.924291275910008,
ETTh2,240,2022,1.707819069756402,1.345220226711697,-21.23168955458642,True,0,0.0,0.0,-16.954224813542595,-25.681722568149368,-21.194585801414046,
ETTh2,240,2023,1.7120153215196399,1.971933322482639,15.181990353467611,False,0,0.0,0.0,-4.00682689150158,19.61649601762454,27.058685686883432,
ETTm1,180,2021,1.0504014333089193,1.0278173022800021,-2.1500476211055664,True,0,0.0,0.0,-2.240825268618829,-1.6362506291354384,-1.053824147772242,-3.6056695037954722
ETTm1,180,2022,1.033534092373318,1.017581706576877,-1.5434793989049123,True,0,0.0,0.0,-0.935223444295119,-4.270881605485444,-3.5360888131173107,2.263716879089217
ETTm1,180,2023,1.044513871934679,1.0095997916327581,-3.3426152816191768,True,0,0.0,0.0,5.735356233292821,-5.768113001517938,-6.932864587250109,-5.150375458695899
ETTm1,240,2021,1.133939594692654,0.9484476937188042,-16.3581818504297,True,0,0.0,0.0,-19.6202512816689,-30.37286470690669,5.766134626745623,
ETTm1,240,2022,1.1588241577148437,0.9342689302232531,-19.37785176436129,True,0,0.0,0.0,-19.039952803611893,-36.46755171387469,4.417721767615412,
ETTm1,240,2023,1.1127030690511068,0.9730613284640842,-12.549775809111996,True,0,0.0,0.0,-14.574831955000567,-29.137672718113993,12.3013002693807,
Weather,180,2021,15.489232381184896,14.87848646375868,-3.9430354093473508,True,0,0.0,0.0,-5.777375113003435,2.5149735701968767,-4.024785756774973,-9.566489025676873
Weather,180,2022,15.256438869900174,14.43610568576389,-5.376963727457662,True,0,0.0,0.0,-1.2273813088554686,0.25740781637821897,-6.605586287175447,-10.810147465100417
Weather,180,2023,14.245799085828994,14.785706244574653,3.789939444553392,False,0,0.0,0.0,-3.6890708293603303,4.320655799323392,4.331884881145154,5.673787117128581
Weather,240,2021,15.964620632595485,15.17485860188802,-4.946951442710656,True,0,0.0,0.0,-11.972788569293336,-3.313550756614303,-3.841415015451466,
Weather,240,2022,15.037819078233507,13.7520263671875,-8.550393540158542,True,0,0.0,0.0,-14.714372613725057,-7.36134242661125,-7.213165092154616,
Weather,240,2023,16.315874565972223,15.362811279296874,-5.841325163549749,True,0,0.0,0.0,-11.241817670133225,-7.001274303168826,-1.8295003457998837,
