carrier,dataset,scale,output_shape,prefix_shape,prefix_max_abs,gradient_pass,frozen_parameter_tensors,active_forward_parameters,decoder_parameters
neutral_raw,ETTh2,1,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2080080,2080080
neutral_raw,ETTh2,48,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2077020,2077020
neutral_raw,ETTh2,144,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2081045,2081045
neutral_raw,ETTh2,360,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2080564,2080564
neutral_raw,ETTh2,720,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2080083,2080083
a6_natural,ETTh2,1,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2255632,2218320
a6_natural,ETTh2,48,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2256187,2218875
a6_natural,ETTh2,144,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2256622,2219310
a6_natural,ETTh2,360,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2255388,2218076
a6_natural,ETTh2,720,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,2255153,2217841
a6_natural,ETTh1,1,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,4465552,4430160
a6_natural,ETTh1,48,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,4458262,4422870
a6_natural,ETTh1,144,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,4465547,4430155
a6_natural,ETTh1,360,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,4463710,4428318
a6_natural,ETTh1,720,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,4466603,4431211
a6_natural,ETTm2,1,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,8888272,8853840
a6_natural,ETTm2,48,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,8883187,8848755
a6_natural,ETTm2,144,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,8881902,8847470
a6_natural,ETTm2,360,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,8885426,8850994
a6_natural,ETTm2,720,"(2, 720, 7)","(2, 336, 7)",0.0,True,0,8888014,8853582
