carrier,dataset,readout_dim,partition,scale,groups,hidden_width,minimum_affine_width,decoder_parameters,target_decoder_parameters,parameter_relative_gap,partition_cover_pass,sharing_topology_pass,affine_witness_max_abs
neutral_raw,ETTh1,720,canonical,1,720,4,2,2080080,2080080,0.0,True,True,0.0
neutral_raw,ETTh1,720,canonical,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,canonical,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,canonical,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,canonical,720,1,1443,1440,2080083,2080080,1.4422522210684205e-06,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,random,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,random,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTh1,720,random,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,canonical,1,720,4,2,2080080,2080080,0.0,True,True,0.0
neutral_raw,ETTh2,720,canonical,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,canonical,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,canonical,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,canonical,720,1,1443,1440,2080083,2080080,1.4422522210684205e-06,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,random,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,random,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTh2,720,random,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,canonical,1,720,4,2,2080080,2080080,0.0,True,True,0.0
neutral_raw,ETTm1,720,canonical,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,canonical,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,canonical,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,canonical,720,1,1443,1440,2080083,2080080,1.4422522210684205e-06,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,random,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,random,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTm1,720,random,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,canonical,1,720,4,2,2080080,2080080,0.0,True,True,0.0
neutral_raw,ETTm2,720,canonical,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,canonical,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,canonical,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,canonical,720,1,1443,1440,2080083,2080080,1.4422522210684205e-06,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,random,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,random,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,ETTm2,720,random,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,Weather,720,canonical,1,720,4,2,2080080,2080080,0.0,True,True,0.0
neutral_raw,Weather,720,canonical,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,Weather,720,canonical,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,Weather,720,canonical,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
neutral_raw,Weather,720,canonical,720,1,1443,1440,2080083,2080080,1.4422522210684205e-06,True,True,2.384185791015625e-07
neutral_raw,Weather,720,random,48,15,180,96,2077020,2080080,0.0014710972654897888,True,True,2.384185791015625e-07
neutral_raw,Weather,720,random,144,5,481,288,2081045,2080080,0.00046392446444367525,True,True,2.384185791015625e-07
neutral_raw,Weather,720,random,360,2,962,720,2080564,2080080,0.00023268335833237183,True,True,2.384185791015625e-07
a6_natural,ETTh1,1536,canonical,1,720,4,2,4430160,4430160,0.0,True,True,1.4901161193847656e-08
a6_natural,ETTh1,1536,canonical,48,15,186,96,4422870,4430160,0.0016455387615797173,True,True,1.1920928955078125e-07
a6_natural,ETTh1,1536,canonical,144,5,527,288,4430155,4430160,1.1286274084908897e-06,True,True,2.384185791015625e-07
a6_natural,ETTh1,1536,canonical,360,2,1167,720,4428318,4430160,0.00041578633728804376,True,True,2.384185791015625e-07
a6_natural,ETTh1,1536,canonical,720,1,1963,1440,4431211,4430160,0.00023723748126478503,True,True,2.384185791015625e-07
a6_natural,ETTh1,1536,random,48,15,186,96,4422870,4430160,0.0016455387615797173,True,True,1.1920928955078125e-07
a6_natural,ETTh1,1536,random,144,5,527,288,4430155,4430160,1.1286274084908897e-06,True,True,2.384185791015625e-07
a6_natural,ETTh1,1536,random,360,2,1167,720,4428318,4430160,0.00041578633728804376,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,canonical,1,720,4,2,2218320,2218320,0.0,True,True,0.0
a6_natural,ETTh2,768,canonical,48,15,181,96,2218875,2218320,0.0002501893324678135,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,canonical,144,5,486,288,2219310,2218320,0.0004462836741317754,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,canonical,360,2,982,720,2218076,2218320,0.00010999314796783151,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,canonical,720,1,1489,1440,2217841,2218320,0.00021592917162537416,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,random,48,15,181,96,2218875,2218320,0.0002501893324678135,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,random,144,5,486,288,2219310,2218320,0.0004462836741317754,True,True,2.384185791015625e-07
a6_natural,ETTh2,768,random,360,2,982,720,2218076,2218320,0.00010999314796783151,True,True,2.384185791015625e-07
a6_natural,ETTm1,768,canonical,1,720,4,2,2218320,2218320,0.0,True,True,0.0
a6_natural,ETTm1,768,canonical,48,15,181,96,2218875,2218320,0.0002501893324678135,True,True,2.384185791015625e-07
