dataset,scale_count,encoder_hash_count,encoder_initialization_paired,encoder_initialization_hash
ETTh1,5,1,True,72590b4bdc2d25eb27466461bb8a1f1bacd9ce8567cbb8cc4c6b2aa6639aa9d7
ETTh2,5,1,True,9676505b951faf3995242aa7a4fb330d34327fdf03ecdcff59e763dd76d9beb1
ETTm1,5,1,True,802f8e3b65ee784584e4a88747f42088dedcc4ab8e0a93ba772474819fab4fc2
ETTm2,5,1,True,ba0c7ae49562266ae3e80d7ecde36dc2131ce210fe79ef41444d7ded6a7a18d5
Weather,5,1,True,9676505b951faf3995242aa7a4fb330d34327fdf03ecdcff59e763dd76d9beb1
