epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7974805596183104,0.7780617500586886,0.7806314617474592,0.28104371892946606,0.9957443578671944,2588.014202091734,0.9957443578671944,0.6224306070297771,0.5299447253346443,286,277,295,271,0.41755953431129456,0.2840965688228607,0.4762033224105835,0.32897788286209106,0.5559552907943726,0.3819192349910736,0.6700607538223267,0.44799602031707764
2,0.7088044426206787,0.6896441645913678,0.7134385495401252,0.3902443971409008,0.9890628366263383,2594.411803530211,0.9890628366263383,0.6289018205143478,0.5323015078902245,283,252,273,321,0.4220755696296692,0.28835880756378174,0.4800788462162018,0.3350595235824585,0.558239221572876,0.38709577918052673,0.6688123941421509,0.4511508643627167
3,0.6736976581141418,0.6569304154497845,0.6104437407399829,0.35790320350545185,0.9793367586482195,2565.1276123327316,0.9793367586482195,0.5835850101535145,0.5557405427098274,269,308,274,278,0.4448458254337311,0.3030095100402832,0.5073256492614746,0.3514827787876129,0.5834106206893921,0.4009808301925659,0.6873800754547119,0.46149617433547974
4,0.6330949006828194,0.6187791525261712,0.5155251870068752,0.3037542291414537,0.9677030289986157,2533.172366095814,0.9677030289986157,0.5191129223238166,0.5727331563830376,261,307,286,275,0.4628125727176666,0.30534490942955017,0.5285780429840088,0.3560965359210968,0.6043376326560974,0.40563347935676575,0.6952043771743774,0.4616056978702545
5,0.6035957003030448,0.5929608212254341,0.39189987099730306,0.18415926047745165,0.9552896018573095,2503.6210525891124,0.9552896018573095,0.4742756450302945,0.5927373543381691,282,288,287,272,0.4793721139431,0.3135777711868286,0.547532856464386,0.36585548520088196,0.6268818974494934,0.4160681366920471,0.717162549495697,0.47204068303108215
6,0.5730032221314335,0.5662019937253822,0.26052515863369163,0.0648682024437139,0.9420426558666888,2487.6717252925605,0.9420426558666888,0.46120431837093734,0.6047158092260361,260,302,282,285,0.49286097288131714,0.3143460750579834,0.5590429306030273,0.36763429641723633,0.6387256383895874,0.41822105646133423,0.7282336950302124,0.47483739256858826
7,0.5502726108073344,0.5457297333898113,0.1666026681569216,0.028192775569809973,0.9288968328779202,2457.5395936315517,0.9288968328779202,0.4695484695231841,0.621048703789711,267,287,289,286,0.5007587671279907,0.32069990038871765,0.5765186548233032,0.3773071765899658,0.6611799001693726,0.4298039376735687,0.7457374930381775,0.4843232333660126
8,0.5377091140848436,0.534146143019569,0.12115539797145355,0.022528409522333644,0.9145774028805952,2407.2013444689337,0.9145774028805952,0.48597253947473396,0.6102780103683472,287,284,269,289,0.49132293462753296,0.31802794337272644,0.564231276512146,0.37233710289001465,0.6488181948661804,0.42476075887680054,0.7367396354675293,0.48084157705307007
9,0.5268910709369278,0.52376113131154,0.10025484551757284,0.022307744006353263,0.9017644278553337,2384.532521169306,0.9017644278553337,0.505752208593992,0.6173757165670395,276,303,279,271,0.48955774307250977,0.31843215227127075,0.5706357359886169,0.37521106004714966,0.6602274179458618,0.43008744716644287,0.7490819692611694,0.4864438474178314
10,0.5205653141672575,0.5176922830994727,0.08830772453145289,0.0218637362683474,0.8882400102062074,2325.4337180638545,0.8882400102062074,0.5270122033869724,0.6139277294278145,311,285,277,256,0.4939219653606415,0.318183034658432,0.5676093697547913,0.37374189496040344,0.6524138450622559,0.42731282114982605,0.7417657375335693,0.4842911958694458
11,0.5065666261080412,0.5038498354707808,0.08126118908528208,0.02168026832786147,0.8747638343075296,2303.391831175852,0.8747638343075296,0.5365524144168445,0.6238302886486053,294,282,281,272,0.4997425079345703,0.3226468861103058,0.5755743980407715,0.3791542947292328,0.665908694267273,0.43393653631210327,0.7540955543518066,0.4914373755455017
