short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,9.818447629635161e-15,5.51845324991973e-08,0.0
192,720,0.0,0.0,0.0
336,720,0.0,0.0,0.0
