arm,macro_regret,max_dataset_regret,Weather_val_mse,ETTm1_val_mse,ETTh2_val_mse,Weather_regret,ETTm1_regret,ETTh2_regret,seed,selected
sc0_p12_d128,0.013159071324682007,0.024184932190259634,0.5864202380180359,0.9750548005104065,0.6534243822097778,0.0,0.015292281783786388,0.024184932190259634,2021,0
sc0_p24_d64,0.004051193852504002,0.012153581557512005,0.5935473442077637,0.9603685736656189,0.6379945278167725,0.012153581557512005,0.0,0.0,2021,1
sc0_p48_d32,0.024859084302445728,0.05592234214256431,0.5959303379058838,0.9627096652984619,0.6736726760864258,0.016217209556051104,0.0024377012087217764,0.05592234214256431,2021,0
sc0_p12_d128,0.0037768035069420205,0.011330410520826062,0.5879053473472595,0.9652429223060608,0.6631364822387695,0.0,0.011330410520826062,0.0,2022,1
sc0_p24_d64,0.011766880871983373,0.014400856222567482,0.5962529182434082,0.9681734442710876,0.6675801277160645,0.014198834784909797,0.014400856222567482,0.006700951608472838,2022,0
sc0_p48_d32,0.006902131821835707,0.012024334371006473,0.5949745178222656,0.9544288516044617,0.6688938736915588,0.012024334371006473,0.0,0.008682061094500648,2022,0
sc0_p12_d128,0.01536426372611932,0.02947754198631225,0.5873768329620361,0.9786353707313538,0.6688324809074402,0.0,0.02947754198631225,0.01661524919204571,2023,0
sc0_p24_d64,0.008118619144633557,0.01239904317920315,0.5943999886512756,0.9624003171920776,0.6579012870788574,0.011956814254697523,0.01239904317920315,0.0,2023,1
sc0_p48_d32,0.013040725132953845,0.02273035306464588,0.5970050096511841,0.9506136178970337,0.6728556156158447,0.016391822334215655,0.0,0.02273035306464588,2023,0
