backbone,original_macro_mse,original_macro_mae,iscf_bsca_macro_mse,iscf_bsca_macro_mae,mse_gain_percent,mae_gain_percent,dataset_mse_wins,dataset_mae_wins,aggregate_direction_pass,per_horizon_gate_status
dlinear_style,0.303,0.333,0.286,0.321,5.6105610561,3.6036036036,3,3,True,not_reauditable_from_aggregate_only
patchtst_style,0.282,0.314,0.276,0.310,2.1276595745,1.2738853503,3,3,True,not_reauditable_from_aggregate_only
