backbone,arm_id,dataset,horizon,mse,mae,profile_id,checkpoint_sha256,evidence_role
dlinear_style,dlinear_iscf,Weather,96,0.15194651205078352,0.19246497682208977,v1_shared_backbone_dataset_profile,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,strict_matched_v2p1
dlinear_style,dlinear_iscf,Weather,192,0.194703379977793,0.23419570371717488,v1_shared_backbone_dataset_profile,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,strict_matched_v2p1
dlinear_style,dlinear_iscf,Weather,336,0.24562790968617157,0.27430414504577244,v1_shared_backbone_dataset_profile,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,strict_matched_v2p1
dlinear_style,dlinear_iscf,Weather,720,0.32241773937253354,0.3281199991673206,v1_shared_backbone_dataset_profile,f1d93c10af77f40038631fcf6f1535cfd1b9809e19a4c39d48f6f830df74dac5,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm1,96,0.27463795141399044,0.33209710550273097,v1_shared_backbone_dataset_profile,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm1,192,0.3155214883160465,0.35591140482670447,v1_shared_backbone_dataset_profile,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm1,336,0.3595296199347214,0.379293249887384,v1_shared_backbone_dataset_profile,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm1,720,0.4272199246642203,0.4138579686938464,v1_shared_backbone_dataset_profile,aa84428e83d61c1443d2198e837f240804eeed3d343bb2f48940f8ac4d31c72d,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm2,96,0.1907201128488878,0.2805897442300306,v1_shared_backbone_dataset_profile,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm2,192,0.2508600720676039,0.3195337940052739,v1_shared_backbone_dataset_profile,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,strict_matched_v2p1
