backbone,arm_id,dataset,horizon,mse,mae,profile_id,checkpoint_sha256,evidence_role
patchtst_style,patchtst_original,Weather,96,0.15188577578740853,0.18856968710473043,v1_shared_backbone_dataset_profile,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,native_original_reference
patchtst_style,patchtst_original,Weather,192,0.19348987937726,0.2303070529918042,v1_shared_backbone_dataset_profile,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,native_original_reference
patchtst_style,patchtst_original,Weather,336,0.2462900090064447,0.2710705768580188,v1_shared_backbone_dataset_profile,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,native_original_reference
patchtst_style,patchtst_original,Weather,720,0.3229998147972855,0.32370075621734024,v1_shared_backbone_dataset_profile,e5a15b62a2e76026550976b4c9f2ca000b94e22e2b2af893d867736762a02deb,native_original_reference
patchtst_style,patchtst_original,ETTm1,96,0.28953897485870184,0.3354870958418374,v1_shared_backbone_dataset_profile,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,native_original_reference
patchtst_style,patchtst_original,ETTm1,192,0.3276257114450414,0.3597884952304937,v1_shared_backbone_dataset_profile,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,native_original_reference
patchtst_style,patchtst_original,ETTm1,336,0.3763955169875849,0.3860524120172884,v1_shared_backbone_dataset_profile,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,native_original_reference
patchtst_style,patchtst_original,ETTm1,720,0.4401028919414166,0.4194115000095883,v1_shared_backbone_dataset_profile,f9ba849c89847d9e12908a31948a38970041a2b1ebf8f25d991c8d4258953c42,native_original_reference
patchtst_style,patchtst_original,ETTm2,96,0.17044369702394754,0.25424647168161124,v1_shared_backbone_dataset_profile,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,native_original_reference
patchtst_style,patchtst_original,ETTm2,192,0.22648931671914901,0.29342235536221667,v1_shared_backbone_dataset_profile,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,native_original_reference
patchtst_style,patchtst_original,ETTm2,336,0.2762006326665543,0.32697244197301634,v1_shared_backbone_dataset_profile,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,native_original_reference
patchtst_style,patchtst_original,ETTm2,720,0.3628093037137104,0.3803917802664584,v1_shared_backbone_dataset_profile,240c06caff9282583ea6647e3cdac799877d361ed1b12cab1d86a96d61227ef3,native_original_reference
