backbone,arm_id,dataset,mean_mse,mean_mae,cell_count,profile_ids,evidence_role
dlinear_style,dlinear_original,Weather,0.246,0.274,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_original,ETTm1,0.353,0.372,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_original,ETTm2,0.311,0.354,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_original,Avg.,0.303,0.333,12,dataset_specific,author_corrected_rerun_20260817
dlinear_style,dlinear_iscf_bsca,Weather,0.232,0.259,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_iscf_bsca,ETTm1,0.347,0.370,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_iscf_bsca,ETTm2,0.279,0.333,4,author_rerun_not_supplied,author_corrected_rerun_20260817
dlinear_style,dlinear_iscf_bsca,Avg.,0.286,0.321,12,dataset_specific,author_corrected_rerun_20260817
patchtst_style,patchtst_original,Weather,0.229,0.253,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_original,ETTm1,0.358,0.375,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_original,ETTm2,0.259,0.314,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_original,Avg.,0.282,0.314,12,dataset_specific,author_corrected_rerun_20260817
patchtst_style,patchtst_iscf_bsca,Weather,0.226,0.251,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_iscf_bsca,ETTm1,0.349,0.369,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_iscf_bsca,ETTm2,0.254,0.310,4,author_rerun_not_supplied,author_corrected_rerun_20260817
patchtst_style,patchtst_iscf_bsca,Avg.,0.276,0.310,12,dataset_specific,author_corrected_rerun_20260817
