epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,3.368115080416572,0.7782070800147297,0.3784895744653166,0.11438532938819422,2581.194235491689,0.5291467308998108,286,277,295,271,0.41635313630104065,0.28391724824905396,0.475360244512558,0.3290131390094757,0.5553520917892456,0.38194113969802856,0.6695214509963989,0.4480360746383667
2,3.2616029825223243,0.6903552763540202,0.17028866324200898,0.04640052398622194,2567.3778069481796,0.5303166434168816,283,252,273,321,0.4183855652809143,0.2879149317741394,0.4780563414096832,0.33447960019111633,0.5564811825752258,0.3865164518356323,0.6683434844017029,0.451388955116272
3,3.1791212671725915,0.6585348068981491,0.08939917262831655,0.019538545504251974,2518.60297018411,0.5502118468284607,269,308,274,278,0.4383704364299774,0.3019324243068695,0.49979618191719055,0.34774795174598694,0.5770300030708313,0.3973812162876129,0.6856507658958435,0.4599170982837677
4,3.0911759698253696,0.6197045563173251,0.042571552302374895,0.010209201616288697,2470.517771819717,0.5681576058268547,261,307,286,275,0.4554767310619354,0.3053160607814789,0.5222388505935669,0.3559471070766449,0.6006394028663635,0.4061054587364197,0.694275438785553,0.4615592062473297
5,3.0209883030164124,0.5928973508314077,0.02014356112459046,0.007304057936523146,2427.6149247188923,0.5944729372859001,282,288,287,272,0.4791102111339569,0.31739532947540283,0.5495407581329346,0.37050774693489075,0.62966388463974,0.42067310214042664,0.719576895236969,0.4742368161678314
6,2.9656809720188457,0.5656922482039888,0.012284668596367376,0.006711442936587158,2399.675803379637,0.6044954359531403,260,302,282,285,0.488986074924469,0.3185195028781891,0.558314323425293,0.3716319799423218,0.6385825276374817,0.4222957193851471,0.7320988178253174,0.47802627086639404
7,2.905698914565905,0.5457027224284342,0.009381040891152341,0.00636372592715106,2359.744817674635,0.6157213598489761,267,287,289,286,0.48898613452911377,0.32226723432540894,0.5688773393630981,0.3801082670688629,0.6580289602279663,0.433672696352005,0.7469930052757263,0.4881100654602051
8,2.837122924223318,0.5342718613844619,0.008100245830968378,0.006010765666329773,2302.62884314869,0.6102673634886742,287,284,269,289,0.4897221624851227,0.32307639718055725,0.565166711807251,0.3782595098018646,0.6491410732269287,0.4294896125793457,0.7370395064353943,0.48357436060905457
9,2.796859508177366,0.5229929829720801,0.007581111073388369,0.0057884000279496035,2273.6569107974706,0.6107143312692642,276,303,279,271,0.48500603437423706,0.3207974433898926,0.5645334720611572,0.37733376026153564,0.6529587507247925,0.4305308163166046,0.7403590679168701,0.48411253094673157
10,2.730298226918659,0.5188264331530427,0.0072362920792362565,0.0054483987412958235,2211.272481656476,0.6141547560691833,311,285,277,256,0.49017906188964844,0.32294902205467224,0.5680486559867859,0.38028988242149353,0.6540791988372803,0.43296319246292114,0.7443121075630188,0.4878869652748108
11,2.6874692634315593,0.5046906784322011,0.007106463079224443,0.005357577717922623,2182.582777714286,0.623118668794632,294,282,281,272,0.5003201961517334,0.32782742381095886,0.5750454664230347,0.38289058208465576,0.6623148322105408,0.4356343746185303,0.754794180393219,0.49228787422180176
