epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h720_l1
1,226,0.8534803168963542,0.5437328510843547,0.5437328510843547,0.21450672819551114,0.9524073703626615,0.21450672819551114,0.09524073703626616,full,off,1,32,720,0.6279721380004453,0.0005,4.482642412185669,0,3,0.0,1,0,0,0.5437328510843547
2,226,0.7320231850695821,0.5041197190242531,0.5041197190242531,0.13575791640091786,0.9214554938067377,0.13575791640091786,0.09214554938067378,full,off,1,32,720,0.7113000901105503,0.0004877641290737884,3.7386093139648438,0,3,0.0,1,1,0,0.5041197190242531
3,226,0.6876824548286674,0.49401193619829364,0.49401193619829364,0.1022253112653188,0.914452076749464,0.1022253112653188,0.0914452076749464,full,off,1,32,720,0.7440514404119717,0.0004522542485937369,4.001906394958496,0,3,0.0,1,2,0,0.49401193619829364
4,226,0.6552658967212238,0.47899703668282095,0.47899703668282095,0.08494738555323761,0.9132147209834208,0.08494738555323761,0.09132147209834209,full,off,1,32,720,0.7346387506876555,0.0003969463130731183,3.9830522537231445,0,3,0.0,1,3,0,0.47899703668282095
5,226,0.6268432400131647,0.47118192291365263,0.47118192291365263,0.06466572922942913,0.9099558528545684,0.06466572922942913,0.09099558528545684,full,off,1,32,720,0.7697169238287541,0.00032725424859373687,4.126357078552246,0,3,0.0,1,4,0,0.47118192291365263
6,226,0.606705661764187,0.4665134214194475,0.4665134214194475,0.04944655525011826,0.9074568511110491,0.04944655525011826,0.09074568511110492,full,off,1,32,720,0.7774656778718863,0.00025,4.09525203704834,0,3,0.0,1,5,0,0.4665134214194475
7,226,0.589547445948145,0.4615376951683939,0.4615376951683939,0.03742648591905569,0.9058326627828378,0.03742648591905569,0.09058326627828378,full,off,1,32,720,0.781180315475083,0.00017274575140626317,4.0412352085113525,0,3,0.0,1,6,0,0.4615376951683939
8,226,0.5786818558663394,0.4591861319752921,0.4591861319752921,0.029027090012301915,0.904686334386336,0.029027090012301915,0.09046863343863361,full,off,1,32,720,0.789474437189185,0.00010305368692688174,3.8258731365203857,0,3,0.0,1,7,0,0.4591861319752921
9,226,0.5710253995076745,0.4562169383321188,0.4562169383321188,0.02440343978526318,0.9040502230677985,0.02440343978526318,0.09040502230677985,full,off,1,32,720,0.7741477398098343,4.7745751406263163e-05,3.988999128341675,0,3,0.0,1,8,0,0.4562169383321188
10,226,0.5702043544929639,0.4573863624735216,0.4573863624735216,0.022443617446826096,0.9037437652592111,0.022443617446826096,0.09037437652592112,full,off,1,32,720,0.7810579201930927,1.2235870926211617e-05,4.022000312805176,0,3,0.0,1,9,0,0.4573863624735216
