split,control,cell_count,expected_cell_count,macro_mse_gain,macro_mae_gain,positive_cells,positive_datasets,positive_horizons,minimum_cell_gain,maximum_cell_gain
validation,GLOBAL_COMPRESSED,20,20,0.20645316758530993,0.15042452834110148,17,4,4,-0.06787609357647065,0.48153087403606937
validation,POOLED_MEMORY,20,20,0.2138153252035427,0.1530766084872724,19,5,4,-0.032563619311786425,0.4336889783051929
validation,ORDER_SHUFFLED,20,20,0.24555598150072858,0.17328812561693546,20,5,4,0.053879627195565195,0.42025633974705656
validation,TARGET_SHUFFLED_QUERY,20,20,0.13700690725257367,0.10551177432600718,15,4,4,-0.04867241244522881,0.4230753360232346
validation,GENERIC_MATCHED,20,20,0.02541033367263763,0.013245905137629244,16,4,4,-0.037784661454566194,0.11199794000240416
test,GLOBAL_COMPRESSED,20,20,0.17290967593443535,0.11741473600548329,20,5,4,0.03232817230012677,0.4141954542874446
test,POOLED_MEMORY,20,20,0.17530751344181514,0.12061137282696635,20,5,4,0.05205827820676844,0.40137193280568506
test,ORDER_SHUFFLED,20,20,0.17082625196676499,0.1163139508095846,20,5,4,0.012198963077728569,0.40325853663977584
test,TARGET_SHUFFLED_QUERY,20,20,0.13744920736015165,0.09210287410101989,20,5,4,0.014749619848319313,0.448876641668582
test,GENERIC_MATCHED,20,20,0.025228281096010868,0.016483705880435844,15,4,4,-0.013097782401934835,0.07939156343246002
