dataset,arm,parameter_count,best_epoch,checkpoint_sha256,attention_entropy_test,attention_target_dispersion_test,prediction_coordinate_dispersion_test
ETTh1,GLOBAL_COMPRESSED,11553,9,2a96438c24a1af91388def101f3ee8adc322730b76f412f72812794cda208a05,0.0,0.0,0.055690981395980485
ETTh1,POOLED_MEMORY,11553,1,e2af934f2911d4e87250fbc5febbf99e5c1aded578a6bd0894f736a0d55d4bf5,0.0,0.0,0.03156545392613839
ETTh1,ORDERED_TARGET_ACCESS,11553,4,d46d1f350a8ac03f41fc2d7f5558bb109526f64cfc4c809dc2075424a0a628cf,0.8387657707071812,0.011069299379938568,0.07470765602307318
ETTh1,ORDER_SHUFFLED,11553,6,6cfc5e938798413ba5c00718b3daeee74f8dbdbc7bc435a9c4c9b41830af14c3,0.9649098560469176,0.004125703342107229,0.08581215838959018
ETTh1,TARGET_SHUFFLED_QUERY,11553,1,5d23542137f73c2abc89091cb0fcc60158d98324550dad671bad945e86ce3c37,0.8642298620313144,0.0010557297429941294,0.005623511769642906
ETTh1,GENERIC_MATCHED,11553,4,946166100545efa80550bc886ad6df4e9a23ca1b514fed57e6c49ecc02128d20,0.8123775122894947,0.0,0.05877671491273682
ETTh2,GLOBAL_COMPRESSED,11553,4,145191fd4f8474f1bc2adffb58b447de3aefaf376725cfd4584fad88b2efb406,0.0,0.0,0.08080931146116734
ETTh2,POOLED_MEMORY,11553,5,5e018dfeeae29b01122650b224afc93c4a44592cb55befe44ba452de20e890cd,0.0,0.0,0.08057538385139688
ETTh2,ORDERED_TARGET_ACCESS,11553,6,97e4125481d0bd7a9c09353c074559a195767fe26e999fbd80a389226417bdf5,0.7473996867189138,0.011791521555337709,0.12182404519451376
ETTh2,ORDER_SHUFFLED,11553,2,0c911b954aae508bc285db3f55bfd9220834c98b48c2222540b8e7afedce53c0,0.7253105683163436,0.005034688185497064,0.022343313233553673
ETTh2,TARGET_SHUFFLED_QUERY,11553,1,e315894888826889c714b703b4335b4f57070ed5d5cadf9b6f6f940be6b9d711,0.8193821978204948,0.0014068556505383398,0.010924499125936581
ETTh2,GENERIC_MATCHED,11553,2,6f8cc4bf7182dbe07f93182486c65fbbe8faa5d7d2d1f01bb1bde54482431bf8,0.7638220544602793,0.0,0.0178961375722216
ETTm1,GLOBAL_COMPRESSED,11553,11,7d7436f1b55d636562d9df4bf5467bb69d07e4944af2761248767a9e06f95bd0,0.0,0.0,0.1975360082750596
ETTm1,POOLED_MEMORY,11553,12,b3283698e627c05d743b7e632181c578509d9fef93609d107b19086b698b5c0b,0.0,0.0,0.13357768720934185
ETTm1,ORDERED_TARGET_ACCESS,11553,10,9700d00d0351da80a6ba410e5307862b6803a3f32448c02544e3b7fd0e5c3460,0.7999899913984122,0.029251146187948725,0.46820977133751446
ETTm1,ORDER_SHUFFLED,11553,11,c9895194ce6073177df7cfeb50f48dfb06d485208ae6e3fe9d0243f66b6ed293,0.9926988261241116,0.002543150787943202,0.17775619413668156
ETTm1,TARGET_SHUFFLED_QUERY,11553,6,784be440039a58d3e8f137cd93ba89b1a7a62b2909f7bb8aea8bfef53cda86b9,0.8378982749948589,0.0007764340420961056,0.0035776920420592865
ETTm1,GENERIC_MATCHED,11553,11,822ee29a3727253cd0a94a9072cc7a3de5ade5a81a50b3f2cc0692e4fd9a8f3f,0.7416307124017886,0.0,0.40942644446870263
ETTm2,GLOBAL_COMPRESSED,11553,11,f7430d2d829f8e6180fa5f4ba0e8039305f8e66df12e29fa1c154831f4207846,0.0,0.0,0.08862910807027871
ETTm2,POOLED_MEMORY,11553,1,d4081168bd7292eccb7c337bcd6390ddca231569a7d8b1780f70afc82797fe59,0.0,0.0,0.006675369250402303
ETTm2,ORDERED_TARGET_ACCESS,11553,7,6cb02eff5e357a8cce6b569d70f0257498948195e66b36458fd96d7cb3afd913,0.7828947464058481,0.008279786920691447,0.11354749371978753
ETTm2,ORDER_SHUFFLED,11553,1,a9c13586890f9c6119981f531389d6a0dffa508e3ecb5e87223de17ede242661,0.9703466946709411,0.0030653094544528373,0.016104827401318873
ETTm2,TARGET_SHUFFLED_QUERY,11553,5,12e9478406203fc903ecb792d22a11f9dee60abf8f96e1671577915b632e0400,0.80825630351025,0.0008349958495093367,0.006552587187795612
ETTm2,GENERIC_MATCHED,11553,7,e78f5c3c9240a7333a083575f96a292b90a4aee8d29881e6a6b3648d2fd0ff6b,0.8039886871760293,0.0,0.0994206643010188
Weather,GLOBAL_COMPRESSED,11553,12,5295d4e5a8cafe887ee7e7ae3c8c19bb3162d38f18b390e9222070012c1eef91,0.0,0.0,0.06277241362695053
Weather,POOLED_MEMORY,11553,12,baecd8374ae66c8d233990de3e7c6be57256c36c947b4b1ecc3ea434edc66757,0.0,0.0,0.10452792446931365
Weather,ORDERED_TARGET_ACCESS,11553,11,68046410a43a89cb4d45187e8bb24a454d87fa39d6ab391ec948ea67b4232365,0.7453357030320799,0.03702355248591808,0.37347949756624255
Weather,ORDER_SHUFFLED,11553,6,e7819c2981cdc1be764d1e85f8774f3b7bbb3d430bfd6f6d0ddc356e6dfee259,0.9802887780846015,0.0030107015387255643,0.06349239088367299
Weather,TARGET_SHUFFLED_QUERY,11553,5,49c4abcaf3874cdc6b43a565b248e1d802d59be85d47cb244aa56414c395a3ed,0.7980293204245402,0.0007943174048742306,0.0032174103594595632
Weather,GENERIC_MATCHED,11553,11,d01955ed573145e96b145cd504d6e949902d2dd5815eee0ebeeff497c9210f78,0.7942374806540076,0.0,0.36980932808942074
