dataset,horizon,candidate_mse,candidate_mae,r3_mse,r3_mae,relative_mse_vs_r3_pct,relative_mae_vs_r3_pct,candidate_wins_mse_vs_r3,candidate_wins_mae_vs_r3,is_specialist_gap
ETTh2,96,0.30496054887771606,0.3589746654033661,0.30479592084884644,0.35886070132255554,0.054012543347403685,0.031757191687620256,False,False,False
ETTh2,192,0.36923515796661377,0.40048742294311523,0.3690433204174042,0.4003613591194153,0.0519823930135388,0.03148751017760798,False,False,False
ETTh2,336,0.3830606937408447,0.41572409868240356,0.3829101622104645,0.41559359431266785,0.039312492912513264,0.03140192041495293,False,False,False
ETTh2,720,0.4108072817325592,0.4395332336425781,0.41047340631484985,0.43929871916770935,0.08133911054233334,0.053383828505815245,False,False,True
ETTm1,96,0.29898157715797424,0.35262826085090637,0.2986849546432495,0.35228273272514343,0.0993094932012939,0.09808261764352455,False,False,True
ETTm1,192,0.3298976421356201,0.3733067214488983,0.32966214418411255,0.3730504512786865,0.0714361523342033,0.06869584779576332,False,False,False
ETTm1,336,0.36099064350128174,0.39269569516181946,0.36072883009910583,0.3924419581890106,0.07257900681350016,0.0646559236376687,False,False,False
ETTm1,720,0.41752204298973083,0.42447927594184875,0.41729286313056946,0.4242476224899292,0.054920627552079715,0.054603358896865295,False,False,True
Weather,96,0.14802370965480804,0.19703428447246552,0.14802636206150055,0.19702932238578796,-0.0017918475165967784,0.002518450866828559,True,False,True
Weather,192,0.19241508841514587,0.2399129420518875,0.19240911304950714,0.23990498483181,0.0031055523015632858,0.003316821483756449,False,False,False
Weather,336,0.24480828642845154,0.2804446220397949,0.24479345977306366,0.28043317794799805,0.0060568020900708675,0.004080862286204301,False,False,False
Weather,720,0.3209238648414612,0.3338027596473694,0.3208470046520233,0.3337559103965759,0.02395540189668033,0.014036980120524234,False,False,False
