dataset,horizon,candidate_mse,candidate_mae,uniform_mse,uniform_mae,relative_mse_vs_uniform_pct,relative_mae_vs_uniform_pct,candidate_wins_mse_vs_uniform,candidate_wins_mae_vs_uniform
ETTh2,96,0.30496054887771606,0.3589746654033661,0.3089098036289215,0.36455273628234863,-1.2784491475542503,-1.530113567619007,True,True
ETTh2,192,0.36923515796661377,0.40048742294311523,0.3691662549972534,0.4034823477268219,0.018664482039643104,-0.7422690981599978,False,True
ETTh2,336,0.3830606937408447,0.41572409868240356,0.38080111145973206,0.417312890291214,0.5933759679563444,-0.38071951424786254,False,True
ETTh2,720,0.4108072817325592,0.4395332336425781,0.41340693831443787,0.444231241941452,-0.6288371918667157,-1.0575591843432486,True,True
ETTm1,96,0.29898157715797424,0.35262826085090637,0.30681994557380676,0.35803118348121643,-2.5547127978180817,-1.5090648188172406,True,True
ETTm1,192,0.3298976421356201,0.3733067214488983,0.3365926444530487,0.3774348795413971,-1.9890518785125932,-1.093740487766981,True,True
ETTm1,336,0.36099064350128174,0.39269569516181946,0.3652816712856293,0.39549145102500916,-1.1747175184687042,-0.7069067753408653,True,True
ETTm1,720,0.41752204298973083,0.42447927594184875,0.4194723963737488,0.42629995942115784,-0.46495392804827285,-0.42708976134580023,True,True
Weather,96,0.14802370965480804,0.19703428447246552,0.15020199120044708,0.19952069222927094,-1.4502347993057496,-1.2461904221684805,True,True
Weather,192,0.19241508841514587,0.2399129420518875,0.19452537596225739,0.241441011428833,-1.0848392075699986,-0.6328955333240516,True,True
Weather,336,0.24480828642845154,0.2804446220397949,0.24724797904491425,0.2818574905395508,-0.9867391539000292,-0.5012705169024412,True,True
Weather,720,0.3209238648414612,0.3338027596473694,0.32365867495536804,0.3355359435081482,-0.8449673453937212,-0.5165419366574442,True,True
