dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_stability_region
ETTh2,1-96,0.2497708648443222,0.2497519701719284,0.007565374711870909,False,False
ETTh2,97-192,0.33827275037765503,0.33811911940574646,0.04543693718905839,False,False
ETTh2,193-336,0.36995700001716614,0.36967068910598755,0.07745026035768099,False,True
ETTh2,337-720,0.4845188856124878,0.4840433597564697,0.09824034281915583,False,True
ETTm1,1-96,0.2846258282661438,0.2841739356517792,0.15901972618570515,False,False
ETTm1,97-192,0.35229936242103577,0.3520488142967224,0.07116857496420881,False,False
ETTm1,193-336,0.40599143505096436,0.40565091371536255,0.08394442711419092,False,False
ETTm1,337-720,0.4713757336139679,0.4712492525577545,0.026839523994337533,False,True
Weather,1-96,0.1474573016166687,0.14746259152889252,-0.003587290965778589,True,False
Weather,97-192,0.23270192742347717,0.2326873242855072,0.006275863120097647,False,False
Weather,193-336,0.3131334185600281,0.3130928874015808,0.012945410157239046,False,False
Weather,337-720,0.3892673850059509,0.3891408443450928,0.03251795916492384,False,True
