dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,1.4736682604462106e-14,6.577497657644926e-08,0.0
ETTh2,192,720,1.2890581919217884e-14,6.112533412760968e-08,0.0
ETTh2,336,720,8.679030767449938e-15,4.432564537637518e-08,0.0
ETTm1,96,720,5.4052272504883855e-14,1.3146659227913915e-07,0.0
ETTm1,192,720,5.145252171372128e-14,1.2821986672406638e-07,0.0
ETTm1,336,720,3.391014750356476e-14,9.674983658669589e-08,0.0
Weather,96,720,9.989000254663656e-15,5.559159532708691e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
