dataset,horizon,candidate_mse,candidate_mae,fixed_mse,fixed_mae,relative_mse_vs_fixed_pct,relative_mae_vs_fixed_pct,candidate_wins_mse_vs_fixed,candidate_wins_mae_vs_fixed
ETTh2,96,0.30496054887771606,0.3589746654033661,0.3074484169483185,0.36609065532684326,-0.8091985300482496,-1.9437780833613694,True,True
ETTh2,192,0.36923515796661377,0.40048742294311523,0.37734004855155945,0.4069473147392273,-2.147900975805972,-1.5874024872855053,True,True
ETTh2,336,0.3830606937408447,0.41572409868240356,0.3841150403022766,0.4212876260280609,-0.2744871850376307,-1.320600701736907,True,True
ETTh2,720,0.4108072817325592,0.4395332336425781,0.4074031412601471,0.4438471794128418,0.83557050195604,-0.9719439415995623,False,True
ETTm1,96,0.29898157715797424,0.35262826085090637,0.29047533869743347,0.3442326486110687,2.9283857620013176,2.4389354913639805,False,False
ETTm1,192,0.3298976421356201,0.3733067214488983,0.3377011716365814,0.3733891248703003,-2.3107795164415634,-0.022069046984318774,True,True
ETTm1,336,0.36099064350128174,0.39269569516181946,0.361540287733078,0.3907651901245117,-0.15202848768047783,0.49403198803164017,True,False
ETTm1,720,0.41752204298973083,0.42447927594184875,0.412788063287735,0.42070141434669495,1.146830570702817,0.8979911800440332,False,False
Weather,96,0.14802370965480804,0.19703428447246552,0.14708691835403442,0.1950538456439972,0.6368964087742901,1.0153292912168155,False,False
Weather,192,0.19241508841514587,0.2399129420518875,0.19520847499370575,0.24188493192195892,-1.4309760775754965,-0.8152594931823409,True,True
Weather,336,0.24480828642845154,0.2804446220397949,0.25078684091567993,0.28711846470832825,-2.3839187356877733,-2.324421271656285,True,True
Weather,720,0.3209238648414612,0.3338027596473694,0.32312721014022827,0.33546921610832214,-0.6818816953889195,-0.49675391390149315,True,True
