comparison,candidate,reference,dataset,horizon,candidate_mse,reference_mse,mse_gain_percent,candidate_mae,reference_mae,mae_gain_percent
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,Weather,192,0.44665356089050573,0.4484884347766638,0.40912401388271125,0.2903409674375628,0.2908098398086925,0.16122988528797233
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,Weather,336,0.5073326860687563,0.5102254888486295,0.5669655560331055,0.33536697593739345,0.33742304802650497,0.6093454792542863
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,Weather,720,0.589248553953237,0.5919227002395524,0.4517728894724127,0.3873979623429477,0.3887668860455354,0.3521194195606814
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm1,96,0.3665696290554479,0.3829467575221012,4.276607164041113,0.39550470809141797,0.40524715759480995,2.4040759622385943
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm1,192,0.49078345025191084,0.5068081244438266,3.1618818679162497,0.4574362118728459,0.4651590226373325,1.6602517394374572
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm1,336,0.6477059745340652,0.6607657060514958,1.9764541951595715,0.5235501523351386,0.5292197929340459,1.071320588270941
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm1,720,0.9533532349754953,0.951679669889725,-0.17585382337359512,0.6324511383556657,0.6340783126859202,0.25662040440428413
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh1,96,0.7886335784569383,0.7900539766997099,0.179784962124363,0.6064888170609871,0.6074814728150765,0.16340510756474025
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh1,192,1.037343489471823,1.0392014648144443,0.17878875324267574,0.6916883153220018,0.6927823517471552,0.1579192111915484
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh1,336,1.2527771679950612,1.2555938737378234,0.22433254905720457,0.7662557798127333,0.7677548320165702,0.195251418984832
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh1,720,1.407566573181086,1.4094799532658524,0.13575078384995276,0.8260832967029678,0.827192162639565,0.1340517943326236
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh2,96,0.2321417983621359,0.2315120849913607,-0.2720002157980961,0.33571467843527597,0.33545199083164334,-0.0783085540739803
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh2,192,0.3154054335318506,0.3154315770370886,0.0082881699681292,0.3872294299459706,0.3873500438251843,0.031138212357639805
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh2,336,0.41832265364272253,0.41925755899310824,0.22299069637073954,0.4457084536995916,0.4465432483259411,0.18694597432142857
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTh2,720,0.6368357605404324,0.6391220960041715,0.35773062424743207,0.5541545088299447,0.5556088126574953,0.26174959691417365
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm2,96,0.11483727451801921,0.11255172760381053,-2.0306635560974673,0.2303618167837461,0.23064050590619445,0.12083268780276324
