dataset,layer,branch_to_input_norm,branch_input_cosine
ETTh2,1,0.23800554871559143,-0.1461324691772461
ETTh2,2,0.3003833293914795,-0.23476359248161316
ETTm1,1,0.08597835153341293,0.21494197845458984
ETTm1,2,0.13071417808532715,0.35136622190475464
Weather,1,0.18524616956710815,-0.253023624420166
Weather,2,0.1875431388616562,-0.36316293478012085
