dataset,batch_index,checkpoint_loaded,left_group,right_group,parameter_group,gradient_cosine
ETTh2,1,False,learnable_hard,middle_193_336,target_path,0.3943949341773987
ETTh2,1,False,learnable_hard,middle_97_192,all_shared,0.5048059821128845
ETTh2,1,False,learnable_hard,middle_97_192,encoder,-0.15367887914180756
ETTh2,1,False,learnable_hard,middle_97_192,readout_head,0.6026488542556763
ETTh2,1,False,learnable_hard,middle_97_192,target_path,0.4632503390312195
ETTh2,1,False,learnable_hard,noisy_hard,all_shared,0.12368392944335938
ETTh2,1,False,learnable_hard,noisy_hard,encoder,-0.270155131816864
ETTh2,1,False,learnable_hard,noisy_hard,readout_head,0.1830035001039505
ETTh2,1,False,learnable_hard,noisy_hard,target_path,0.008322966285049915
ETTh2,1,False,learnable_hard,predictable_easy,all_shared,0.7689555883407593
ETTh2,1,False,learnable_hard,predictable_easy,encoder,0.8063552975654602
ETTh2,1,False,learnable_hard,predictable_easy,readout_head,0.7677068710327148
ETTh2,1,False,learnable_hard,predictable_easy,target_path,0.6853103637695312
ETTh2,1,False,middle_193_336,middle_97_192,all_shared,0.574008584022522
ETTh2,1,False,middle_193_336,middle_97_192,encoder,0.5337759256362915
ETTh2,1,False,middle_193_336,middle_97_192,readout_head,0.5857018232345581
ETTh2,1,False,middle_193_336,middle_97_192,target_path,0.5158501863479614
ETTh2,1,False,middle_193_336,noisy_hard,all_shared,0.6371645331382751
ETTh2,1,False,middle_193_336,noisy_hard,encoder,0.6534107327461243
ETTh2,1,False,middle_193_336,noisy_hard,readout_head,0.6382617354393005
ETTh2,1,False,middle_193_336,noisy_hard,target_path,0.6627663969993591
ETTh2,1,False,middle_193_336,predictable_easy,all_shared,0.5830404758453369
ETTh2,1,False,middle_193_336,predictable_easy,encoder,0.08233277499675751
ETTh2,1,False,middle_193_336,predictable_easy,readout_head,0.6470058560371399
ETTh2,1,False,middle_193_336,predictable_easy,target_path,0.474055677652359
ETTh2,1,False,middle_97_192,noisy_hard,all_shared,0.2961128056049347
ETTh2,1,False,middle_97_192,noisy_hard,encoder,0.33616381883621216
ETTh2,1,False,middle_97_192,noisy_hard,readout_head,0.2855537533760071
ETTh2,1,False,middle_97_192,noisy_hard,target_path,0.37995222210884094
ETTh2,1,False,middle_97_192,predictable_easy,all_shared,0.2617417871952057
ETTh2,1,False,middle_97_192,predictable_easy,encoder,-0.45776957273483276
ETTh2,1,False,middle_97_192,predictable_easy,readout_head,0.3844330906867981
ETTh2,1,False,middle_97_192,predictable_easy,target_path,0.16479532420635223
ETTh2,1,False,noisy_hard,predictable_easy,all_shared,0.09889443963766098
ETTh2,1,False,noisy_hard,predictable_easy,encoder,-0.303433358669281
ETTh2,1,False,noisy_hard,predictable_easy,readout_head,0.16611380875110626
ETTh2,1,False,noisy_hard,predictable_easy,target_path,-0.001202189247123897
ETTh2,2,False,early_1_96,full_1_720,all_shared,-0.05554277449846268
ETTh2,2,False,early_1_96,full_1_720,encoder,-0.5084261894226074
ETTh2,2,False,early_1_96,full_1_720,readout_head,0.10541214048862457
ETTh2,2,False,early_1_96,full_1_720,target_path,-0.14433680474758148
ETTh2,2,False,early_1_96,late_337_720,all_shared,-0.4119907319545746
ETTh2,2,False,early_1_96,late_337_720,encoder,-0.736050546169281
ETTh2,2,False,early_1_96,late_337_720,readout_head,-0.26158565282821655
ETTh2,2,False,early_1_96,late_337_720,target_path,-0.4917546212673187
ETTh2,2,False,early_1_96,learnable_hard,all_shared,-0.3015959560871124
ETTh2,2,False,early_1_96,learnable_hard,encoder,-0.6661199927330017
ETTh2,2,False,early_1_96,learnable_hard,readout_head,-0.14842912554740906
ETTh2,2,False,early_1_96,learnable_hard,target_path,-0.3825851380825043
ETTh2,2,False,early_1_96,middle_193_336,all_shared,-0.2696651518344879
ETTh2,2,False,early_1_96,middle_193_336,encoder,-0.6800076961517334
ETTh2,2,False,early_1_96,middle_193_336,readout_head,-0.11801809072494507
ETTh2,2,False,early_1_96,middle_193_336,target_path,-0.39138439297676086
ETTh2,2,False,early_1_96,middle_97_192,all_shared,0.10182340443134308
ETTh2,2,False,early_1_96,middle_97_192,encoder,-0.20272888243198395
ETTh2,2,False,early_1_96,middle_97_192,readout_head,0.18818366527557373
ETTh2,2,False,early_1_96,middle_97_192,target_path,-0.05026371777057648
ETTh2,2,False,early_1_96,noisy_hard,all_shared,-0.14447548985481262
ETTh2,2,False,early_1_96,noisy_hard,encoder,-0.5845527648925781
ETTh2,2,False,early_1_96,noisy_hard,readout_head,0.02775915525853634
ETTh2,2,False,early_1_96,noisy_hard,target_path,-0.17340894043445587
ETTh2,2,False,early_1_96,predictable_easy,all_shared,0.010670732706785202
ETTh2,2,False,early_1_96,predictable_easy,encoder,-0.42072364687919617
ETTh2,2,False,early_1_96,predictable_easy,readout_head,0.14538399875164032
ETTh2,2,False,early_1_96,predictable_easy,target_path,-0.08098500221967697
ETTh2,2,False,full_1_720,late_337_720,all_shared,0.9129136204719543
ETTh2,2,False,full_1_720,late_337_720,encoder,0.9483962655067444
ETTh2,2,False,full_1_720,late_337_720,readout_head,0.9086533784866333
ETTh2,2,False,full_1_720,late_337_720,target_path,0.9055446982383728
