dataset,batch_index,checkpoint_loaded,top_blocks,learnable_blocks,noisy_blocks,predictable_blocks
ETTh2,1,False,4,3,1,11
ETTh2,2,False,4,1,3,11
ETTh2,3,False,4,2,2,11
ETTh2,4,False,4,1,3,11
ETTh2,5,False,4,4,0,11
ETTh2,6,False,4,3,1,11
ETTh2,7,False,4,2,2,11
ETTh2,8,False,4,4,0,11
ETTh2,9,False,4,1,3,11
ETTh2,10,False,4,2,2,11
ETTh2,11,False,4,1,3,11
ETTh2,12,False,4,1,3,11
ETTh2,13,False,4,2,2,11
ETTh2,14,False,4,3,1,11
ETTh2,15,False,4,4,0,11
ETTh2,16,False,4,4,0,11
Weather,1,False,4,2,2,11
Weather,2,False,4,2,2,11
Weather,3,False,4,4,0,11
Weather,4,False,4,2,2,11
Weather,5,False,4,2,2,11
Weather,6,False,4,1,3,11
Weather,7,False,4,2,2,11
Weather,8,False,4,2,2,11
Weather,9,False,4,1,3,11
Weather,10,False,4,1,3,11
Weather,11,False,4,2,2,11
Weather,12,False,4,2,2,11
Weather,13,False,4,2,2,11
Weather,14,False,4,2,2,11
Weather,15,False,4,1,3,11
Weather,16,False,4,2,2,11
