dataset,seed,channel_count,train_probe_rows,evaluation_probe_rows,feature_dimension,full_l1,coalition_oracle_gain_l1_percent,standalone_oracle_gain_l1_percent,coalition_predicted_gain_l1_percent,standalone_predicted_gain_l1_percent,coalition_over_standalone_gain_percent,coalition_prediction_spearman_median,coalition_prediction_top1_fraction,standalone_prediction_spearman_median,standalone_prediction_top1_fraction,shuffle_gain_l1_p95_percent,shuffle_spearman_p95,shuffle_top1_p95,prediction_binding_pass
ETTh1,2021,7,147,109,18,0.8127653308061498,17.872403572332264,14.320183843534018,0.6302033182148725,0.3458741718127767,0.28432914640209583,0.3,0.40711009174311924,0.5,0.3742099898063201,-0.07446288547044988,0.11180339887498948,0.2721266564729867,True
ETTh1,2022,7,147,109,18,0.8178532962755934,16.734163434623937,13.306098711987413,1.409665546817096,0.89533790955445,0.514327637262646,0.6668859288553503,0.4675203873598369,0.8,0.46355759429153925,-0.025687218004827317,0.11180339887498948,0.2849069826707441,True
ETTh1,2023,7,147,109,18,0.81464478757137,17.763125725642848,14.33168896359527,0.6894297388762016,0.48155504642941604,0.20787469244678558,0.33541019662496846,0.38196992864424056,0.5,0.37585372069317025,-0.0032506241688434745,0.11180339887498948,0.27119329765545364,True
ETTh2,2021,7,147,109,18,0.560082135217821,20.0585732688614,17.65726746839128,9.856994280668818,9.328681329865429,0.5283129508033895,0.872081599272381,0.728440366972477,0.9,0.6932849133537207,4.000317062293562,0.5642880936468347,0.43754459734964324,True
ETTh2,2022,7,147,109,18,0.5449034610509135,21.07433011499895,17.5354843441658,10.360320682165247,8.506518399821505,1.8538022823437412,0.8944271909999159,0.7863659531090724,1.0,0.712716615698267,2.3774332326525065,0.6155870112510925,0.48236811926605505,True
ETTh2,2023,7,147,109,18,0.6082463223101164,20.725789594114165,19.529681528384344,12.797142534383877,12.398330264053891,0.39881227032998545,0.8944271909999159,0.784875127420999,1.0,0.732874617737003,5.963875446751684,0.4472135954999579,0.42208843017329256,True
ETTm1,2021,7,147,109,18,0.35053653355144526,17.39140126423333,14.174967608929556,0.10777120035685428,-0.059582745074271415,0.1673539454311257,0.20519567041703082,0.3560907237512742,0.1,0.24856014271151886,-0.14499190366235037,0.11180339887498948,0.27310779816513764,True
ETTm1,2022,7,147,109,18,0.355010178898425,14.168653972867073,13.861674904558463,0.8740837228309539,1.135515544484511,-0.26143182165355716,0.22360679774997896,0.4613532110091743,0.1,0.24264780835881752,0.8157285623820038,0.15389675281277312,0.3598655708460754,True
ETTm1,2023,7,147,109,18,0.35210700031699177,16.620822970078663,13.759667025938471,0.17232768181132396,-0.00018730658886134677,0.1725149884001853,0.22360679774997896,0.4310907237512742,0.1,0.27751019367991847,-0.10748722463165827,0.051298917604257706,0.23891437308868502,True
ETTm2,2021,7,147,109,18,0.2868595505994697,24.097087138398997,19.15140774907944,1.105555796821156,-0.204173423939924,1.30972922076108,0.20519567041703082,0.41406727828746176,0.1,0.34815239551478083,0.10068279251830847,0.11180339887498948,0.3038990825688074,True
ETTm2,2022,7,147,109,18,0.28537560218695224,23.290240260659477,19.37395665194489,1.6818946070079166,0.24037605772229131,1.4415185492856253,0.4472135954999579,0.4984072375127421,0.6,0.4378567787971458,0.5644425020835647,0.20519567041703082,0.3825273955147809,True
ETTm2,2023,7,147,109,18,0.295139928194127,20.56466679802318,18.08447127555377,1.7848606046767301,1.8998978914891995,-0.11503728681246939,0.3,0.44747706422018346,0.4,0.3231141692150866,2.3356686340116144,0.22360679774997896,0.3989615188583079,False
Weather,2021,21,147,109,18,0.3916675548246423,11.357516442576577,11.499953773835847,1.5346376168538622,0.7705303956929588,0.7641072211609035,0.35355339059327373,0.549987257900102,0.3,0.3236748216106014,-0.44652138633753946,0.11180339887498948,0.3001210499490316,True
Weather,2022,21,147,109,18,0.38634626166216357,10.187618240877939,9.971982226005604,1.372656303995634,0.2690694367352364,1.1035868672603977,0.35355339059327373,0.5785805300713558,0.4,0.3968399592252803,-1.250414100535796,0.3,0.3581422018348624,True
Weather,2023,21,147,109,18,0.3948671322337996,9.796643712082641,9.450801584617096,0.3204093524315055,-0.2977504190274871,0.6181597714589926,0.35355339059327373,0.5405708460754333,0.6,0.3908256880733945,-1.399925612440761,0.15389675281277312,0.2665105759429154,True
