epoch,train_loss,train_mse_loss,train_residual_loss,train_smoothness_loss,mse,mae
1,0.4602718339301646,0.4602718339301646,7.676803523148923e-07,1.1046522995633579e-07,0.21842601895332336,0.3248581290245056
2,0.38773296074941754,0.38773296074941754,2.4245787422216836e-06,2.704595738478588e-07,0.2187345027923584,0.3229076564311981
3,0.35890680947341025,0.35890680947341025,5.426436420208347e-06,4.98013837280098e-07,0.21487528085708618,0.32147952914237976
4,0.3341689114458859,0.3341689114458859,9.309866179307846e-06,8.402880937730117e-07,0.21382614970207214,0.3184540271759033
5,0.31689698505215347,0.31689698505215347,1.05681945399283e-05,9.364586368576511e-07,0.2099124938249588,0.31822842359542847
6,0.303883382352069,0.303883382352069,1.0451438043901362e-05,8.931825306035535e-07,0.21386276185512543,0.3196382522583008
7,0.2919941935688257,0.2919941935688257,9.598907183772099e-06,8.552555001983819e-07,0.21845434606075287,0.32076093554496765
8,0.28508783085271716,0.28508783085271716,8.52577311860614e-06,7.210915886624036e-07,0.22102917730808258,0.32375428080558777
9,0.2766232481226325,0.2766232481226325,7.86651591511145e-06,7.085866755573988e-07,0.2162903994321823,0.32092857360839844
10,0.2698967477772385,0.2698967477772385,8.289721129983718e-06,7.592844717407843e-07,0.21704202890396118,0.31987568736076355
11,0.2639522794634104,0.2639522794634104,8.627973571151415e-06,7.737436407140308e-07,0.21499578654766083,0.3197689354419708
12,0.25680130789987743,0.25680130789987743,1.046951518901551e-05,9.305218240385216e-07,0.2169479876756668,0.3217929005622864
13,0.2514486981090158,0.2514486981090158,1.1934070798247376e-05,1.0258200662249806e-06,0.21841540932655334,0.32322874665260315
14,0.24507736694067717,0.24507736694067717,1.3433304985710492e-05,1.1327630584645476e-06,0.21938757598400116,0.32418718934059143
15,0.23992871353402734,0.23992871353402734,1.499357310308369e-05,1.2250874394936773e-06,0.21953922510147095,0.32359299063682556
