length,group,atom_count,numerical_block_rank,containment_rank_cap,rank_cap_sufficient
1,scaling,1,1,1,True
2,scaling,1,1,1,True
2,detail_depth_0,1,1,1,True
3,scaling,1,1,1,True
3,detail_depth_0,1,1,1,True
3,detail_depth_1,1,1,1,True
5,scaling,1,1,1,True
5,detail_depth_0,1,1,1,True
5,detail_depth_1,2,2,2,True
5,detail_depth_2,1,1,1,True
7,scaling,1,1,1,True
7,detail_depth_0,1,1,1,True
7,detail_depth_1,2,2,2,True
7,detail_depth_2,3,3,3,True
16,scaling,1,1,1,True
16,detail_depth_0,1,1,1,True
16,detail_depth_1,2,2,2,True
16,detail_depth_2,4,4,4,True
16,detail_depth_3,8,7,7,True
96,scaling,1,1,1,True
96,detail_depth_0,1,1,1,True
96,detail_depth_1,2,2,2,True
96,detail_depth_2,4,4,4,True
96,detail_depth_3,8,7,7,True
96,detail_depth_4,16,7,7,True
96,detail_depth_5,32,7,7,True
96,detail_depth_6,32,7,7,True
720,scaling,1,1,1,True
720,detail_depth_0,1,1,1,True
720,detail_depth_1,2,2,2,True
720,detail_depth_2,4,4,4,True
720,detail_depth_3,8,7,7,True
720,detail_depth_4,16,7,7,True
720,detail_depth_5,32,7,7,True
720,detail_depth_6,64,7,7,True
720,detail_depth_7,128,7,7,True
720,detail_depth_8,256,7,7,True
720,detail_depth_9,208,7,7,True
721,scaling,1,1,1,True
721,detail_depth_0,1,1,1,True
721,detail_depth_1,2,2,2,True
721,detail_depth_2,4,4,4,True
721,detail_depth_3,8,7,7,True
721,detail_depth_4,16,7,7,True
721,detail_depth_5,32,7,7,True
721,detail_depth_6,64,7,7,True
721,detail_depth_7,128,7,7,True
721,detail_depth_8,256,7,7,True
721,detail_depth_9,209,7,7,True
