length,atoms,depth_groups,orthogonality_max_abs,embedding_max_abs,scale_factorization_max_abs,prefix_cases,prefix_max_abs,operator_prefix_max_abs
1,1,1,0.0,0.0,4.440892098500626e-16,1,0.0,8.881784197001252e-16
2,2,2,2.220446049250313e-16,2.6645352591003757e-15,9.992007221626409e-16,2,2.6645352591003757e-15,1.7763568394002505e-15
3,3,3,2.220446049250313e-16,1.0658141036401503e-14,2.1788126858268697e-15,3,1.0658141036401503e-14,3.552713678800501e-15
5,5,4,2.220446049250313e-16,5.773159728050814e-15,2.6645352591003757e-15,5,5.995204332975845e-15,7.105427357601002e-15
7,7,4,2.220446049250313e-16,1.7763568394002505e-15,1.7763568394002505e-15,7,3.552713678800501e-15,3.552713678800501e-15
16,16,5,2.220446049250313e-16,6.661338147750939e-16,4.884981308350689e-15,16,1.7763568394002505e-15,3.1086244689504383e-15
96,96,8,6.661338147750939e-16,3.552713678800501e-15,2.1316282072803006e-14,5,5.329070518200751e-15,4.440892098500626e-15
720,720,11,2.55351295663786e-15,8.881784197001252e-15,4.306277556764826e-14,9,8.881784197001252e-15,1.4210854715202004e-14
721,721,11,2.914335439641036e-15,1.0658141036401503e-14,5.3290705182007514e-14,5,1.4210854715202004e-14,1.4210854715202004e-14
