dataset,arm,settings,wins_vs_h0_full,mean_relative_mse_vs_h0_full_pct,wins_vs_h0b_stochastic_k2,mean_relative_mse_vs_h0b_stochastic_k2_pct,wins_vs_h1_target_set,mean_relative_mse_vs_h1_target_set_pct,wins_vs_h1c_row_gated,mean_relative_mse_vs_h1c_row_gated_pct,wins_vs_fixed,mean_relative_mse_vs_fixed_pct
ETTh2,dense_row_initialized_prefix_decoder_multiprefix,4,0,6.303362580383959,0,10.00889466372863,0,12.032936457229109,0,10.440499354181954,3,-2.0786710800692054
ETTh2,nested_segment_decoder_multiprefix,4,4,-3.291941568094797,1,0.09188473643404194,0,1.9366892736403463,1,0.4844909776471701,4,-11.004943308359199
ETTm2,dense_row_initialized_prefix_decoder_multiprefix,4,1,0.8523920770074966,1,2.4344043311563786,0,2.688995577432501,0,2.8614858904459526,0,4.533498928789687
ETTm2,nested_segment_decoder_multiprefix,4,4,-1.8198809118032147,4,-0.26727074240922855,3,-0.013288510079553784,1,0.15201630378404718,1,1.8053309234230128
Weather,dense_row_initialized_prefix_decoder_multiprefix,4,0,0.28824108390030356,0,1.4591698915813578,0,1.457608861777776,0,1.4499405175461166,0,1.3407230855595198
Weather,nested_segment_decoder_multiprefix,4,4,-1.2343599499409468,4,-0.08127897168394016,3,-0.08286011543907068,4,-0.09038955398042725,2,-0.1982426496746459
ALL,dense_row_initialized_prefix_decoder_multiprefix,12,1,2.481331913763919,1,4.63415629548879,0,5.393180298813129,0,4.91730858739134,3,1.2651836447600004
ALL,nested_segment_decoder_multiprefix,12,12,-2.115394143279653,9,-0.08555499255304226,6,0.6135135493739073,6,0.18203924248359668,7,-3.1326183448702776
