dataset,trial_id,profile_id,seed,horizon,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,validation_complete,test_complete
ETTh1,ETTh1__h5c_ctx620_p20,h5c_ctx620_p20,2021,192,1.0147797930209588,0.6759686063354214,,,eeb8c5c04e344b4d4a7a5f28c98f0f510fcccf8d294e3709dc2191c737e0a3fb,True,False
ETTh1,ETTh1__h5c_ctx620_p20,h5c_ctx620_p20,2021,336,1.2307641977621686,0.7528506253092062,,,eeb8c5c04e344b4d4a7a5f28c98f0f510fcccf8d294e3709dc2191c737e0a3fb,True,False
ETTh1,ETTh1__h5c_ctx620_p20,h5c_ctx620_p20,2021,720,1.3995522502188882,0.8186579221652613,,,eeb8c5c04e344b4d4a7a5f28c98f0f510fcccf8d294e3709dc2191c737e0a3fb,True,False
ETTh1,ETTh1__h5c_ctx660_p20,h5c_ctx660_p20,2021,96,0.7770163980312645,0.5923972732077042,,,e940370ff4fb706576b46e28f5f2f39ab0b2e893c45285380f6b6f4808d4c6e5,True,False
ETTh1,ETTh1__h5c_ctx660_p20,h5c_ctx660_p20,2021,192,1.0244896364553522,0.6808587408935031,,,e940370ff4fb706576b46e28f5f2f39ab0b2e893c45285380f6b6f4808d4c6e5,True,False
ETTh1,ETTh1__h5c_ctx660_p20,h5c_ctx660_p20,2021,336,1.2383974163926073,0.7566452503559136,,,e940370ff4fb706576b46e28f5f2f39ab0b2e893c45285380f6b6f4808d4c6e5,True,False
ETTh1,ETTh1__h5c_ctx660_p20,h5c_ctx660_p20,2021,720,1.3878351000241107,0.8146691577302085,,,e940370ff4fb706576b46e28f5f2f39ab0b2e893c45285380f6b6f4808d4c6e5,True,False
ETTh1,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,2021,96,0.7691442100331187,0.5921970444420973,,,f8f8ae0df259d68dc136590fd5cec49cebc71d8dbaf9065b3161bdd127d8cda6,True,False
ETTh1,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,2021,192,1.0223454058480759,0.6818601482858261,,,f8f8ae0df259d68dc136590fd5cec49cebc71d8dbaf9065b3161bdd127d8cda6,True,False
ETTh1,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,2021,336,1.2367535500476758,0.7570640625698226,,,f8f8ae0df259d68dc136590fd5cec49cebc71d8dbaf9065b3161bdd127d8cda6,True,False
ETTh1,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,2021,720,1.4097783635473913,0.8227064578897423,,,f8f8ae0df259d68dc136590fd5cec49cebc71d8dbaf9065b3161bdd127d8cda6,True,False
ETTh1,ETTh1__h5c_ctx651_p21,h5c_ctx651_p21,2021,96,0.7650044844485819,0.5874507998426756,,,ea5d30ca374251a5100cb41a596ea2af4f88826dcd4ca78f65d73a5a998230ad,True,False
ETTh1,ETTh1__h5c_ctx651_p21,h5c_ctx651_p21,2021,192,1.016859846112008,0.6769508483509222,,,ea5d30ca374251a5100cb41a596ea2af4f88826dcd4ca78f65d73a5a998230ad,True,False
ETTh1,ETTh1__h5c_ctx651_p21,h5c_ctx651_p21,2021,336,1.235893014241897,0.7554597838648728,,,ea5d30ca374251a5100cb41a596ea2af4f88826dcd4ca78f65d73a5a998230ad,True,False
ETTh1,ETTh1__h5c_ctx651_p21,h5c_ctx651_p21,2021,720,1.3916519386693835,0.8144408911466599,,,ea5d30ca374251a5100cb41a596ea2af4f88826dcd4ca78f65d73a5a998230ad,True,False
ETTh1,ETTh1__h5c_ctx693_p21,h5c_ctx693_p21,2021,96,0.7640210028427342,0.5906032677739859,,,2fe2a4937fc9a00b8564f058167ae15d92adb475b55f069dc2b68b8b8e4aaf89,True,False
ETTh1,ETTh1__h5c_ctx693_p21,h5c_ctx693_p21,2021,192,1.019849193515256,0.6829972993582487,,,2fe2a4937fc9a00b8564f058167ae15d92adb475b55f069dc2b68b8b8e4aaf89,True,False
ETTh1,ETTh1__h5c_ctx693_p21,h5c_ctx693_p21,2021,336,1.2464547781273723,0.762615462853795,,,2fe2a4937fc9a00b8564f058167ae15d92adb475b55f069dc2b68b8b8e4aaf89,True,False
ETTh1,ETTh1__h5c_ctx693_p21,h5c_ctx693_p21,2021,720,1.3904801128432154,0.8176811219917404,,,2fe2a4937fc9a00b8564f058167ae15d92adb475b55f069dc2b68b8b8e4aaf89,True,False
ETTh1,ETTh1__h5c_ctx660_p22,h5c_ctx660_p22,2021,96,0.7749468289936582,0.590424081000189,,,c8bb4098570c59447162d843ed02d9ca925cb15583dbda752b9c25b987fea1de,True,False
ETTh1,ETTh1__h5c_ctx660_p22,h5c_ctx660_p22,2021,192,1.0250827640605469,0.6795442118309438,,,c8bb4098570c59447162d843ed02d9ca925cb15583dbda752b9c25b987fea1de,True,False
ETTh1,ETTh1__h5c_ctx660_p22,h5c_ctx660_p22,2021,336,1.2417875408594097,0.7569898999340477,,,c8bb4098570c59447162d843ed02d9ca925cb15583dbda752b9c25b987fea1de,True,False
ETTh1,ETTh1__h5c_ctx660_p22,h5c_ctx660_p22,2021,720,1.3885370216849777,0.814930145152741,,,c8bb4098570c59447162d843ed02d9ca925cb15583dbda752b9c25b987fea1de,True,False
ETTh1,ETTh1__h5c_ctx682_p22,h5c_ctx682_p22,2021,96,0.784178952841709,0.5948441208650669,,,7e8fa037f2cfdbc1905f25b663d476d32bbf2073747ce95f172e5be9cb898ccb,True,False
ETTh1,ETTh1__h5c_ctx682_p22,h5c_ctx682_p22,2021,192,1.0254783204291016,0.6800576069702705,,,7e8fa037f2cfdbc1905f25b663d476d32bbf2073747ce95f172e5be9cb898ccb,True,False
ETTh1,ETTh1__h5c_ctx682_p22,h5c_ctx682_p22,2021,336,1.239994689955243,0.7557903570788247,,,7e8fa037f2cfdbc1905f25b663d476d32bbf2073747ce95f172e5be9cb898ccb,True,False
ETTh1,ETTh1__h5c_ctx682_p22,h5c_ctx682_p22,2021,720,1.3846721060367093,0.814443722118934,,,7e8fa037f2cfdbc1905f25b663d476d32bbf2073747ce95f172e5be9cb898ccb,True,False
ETTh1,ETTh1__h5c_ctx704_p22,h5c_ctx704_p22,2021,96,0.7800634910042087,0.5978001995633045,,,ecdb627e836477999eda66b0d36706ed3fb6075f263b2e380e5390f73fbffdc8,True,False
ETTh1,ETTh1__h5c_ctx704_p22,h5c_ctx704_p22,2021,192,1.013457160287847,0.6796420896425843,,,ecdb627e836477999eda66b0d36706ed3fb6075f263b2e380e5390f73fbffdc8,True,False
ETTh1,ETTh1__h5c_ctx704_p22,h5c_ctx704_p22,2021,336,1.2217659552005076,0.7525194588871229,,,ecdb627e836477999eda66b0d36706ed3fb6075f263b2e380e5390f73fbffdc8,True,False
ETTh1,ETTh1__h5c_ctx704_p22,h5c_ctx704_p22,2021,720,1.3896176665607425,0.8190773225492901,,,ecdb627e836477999eda66b0d36706ed3fb6075f263b2e380e5390f73fbffdc8,True,False
ETTh1,ETTh1__h5c_ctx726_p22,h5c_ctx726_p22,2021,96,0.7991849867006143,0.6090222684045633,,,881bc55fac303eaf2b94b677209ca4450da8fb1185eaf3825b9b8e1d08ef703e,True,False
ETTh1,ETTh1__h5c_ctx726_p22,h5c_ctx726_p22,2021,192,1.0383776898185413,0.6920704714333018,,,881bc55fac303eaf2b94b677209ca4450da8fb1185eaf3825b9b8e1d08ef703e,True,False
