dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTh1,ETTh1__h5c_ctx594_p18,h5c_ctx594_p18,1.1110215402714583,,,1857577,True
ETTh1,ETTh1__h5c_ctx570_p19,h5c_ctx570_p19,1.0992005482203298,,,1951305,True
ETTh1,ETTh1__h5c_ctx589_p19,h5c_ctx589_p19,1.097401219553181,,,1951337,True
ETTh1,ETTh1__h5c_ctx608_p19,h5c_ctx608_p19,1.1054972740512947,,,1951369,True
ETTh1,ETTh1__h5c_ctx627_p19,h5c_ctx627_p19,1.1112538709807844,,,1951401,True
ETTh1,ETTh1__h5c_ctx600_p20,h5c_ctx600_p20,1.1036792247628218,,,2045129,True
ETTh1,ETTh1__h5c_ctx620_p20,h5c_ctx620_p20,1.1015818077843593,,,2045161,True
ETTh1,ETTh1__h5c_ctx660_p20,h5c_ctx660_p20,1.1069346377258338,,,2045225,True
ETTh1,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,1.1095053823690655,,,2138953,True
ETTh1,ETTh1__h5c_ctx651_p21,h5c_ctx651_p21,1.1023523208679675,,,2138985,True
ETTh1,ETTh1__h5c_ctx693_p21,h5c_ctx693_p21,1.1052012718321444,,,2139049,True
ETTh1,ETTh1__h5c_ctx660_p22,h5c_ctx660_p22,1.107588538899648,,,2232777,True
ETTh1,ETTh1__h5c_ctx682_p22,h5c_ctx682_p22,1.1085810173156907,,,2232809,True
ETTh1,ETTh1__h5c_ctx704_p22,h5c_ctx704_p22,1.1012260682633264,,,2232841,True
ETTh1,ETTh1__h5c_ctx726_p22,h5c_ctx726_p22,1.119950254252624,,,2232873,True
ETTh1,ETTh1__h5c_ctx690_p23,h5c_ctx690_p23,1.1125546765206973,,,2326601,True
ETTh1,ETTh1__h5c_ctx713_p23,h5c_ctx713_p23,1.120703647781666,,,2326633,True
ETTh1,ETTh1__h5c_ctx736_p23,h5c_ctx736_p23,1.1152558785441908,,,2326665,True
ETTh1,ETTh1__h5c_lr2p2e4,h5c_lr2p2e4,1.1090195200960373,,,2045193,True
ETTh1,ETTh1__h5c_lr2p6e4,h5c_lr2p6e4,1.1090094385748093,,,2045193,True
ETTh1,ETTh1__h5c_lr3e4,h5c_lr3e4,1.108672934972925,,,2045193,True
ETTh1,ETTh1__h5c_lr3p2e4,h5c_lr3p2e4,1.1082930498835926,,,2045193,True
ETTh1,ETTh1__h5c_lr3p3e4,h5c_lr3p3e4,1.1082586734426312,,,2045193,True
ETTh1,ETTh1__h5c_lr3p4e4,h5c_lr3p4e4,1.1079199069486338,,,2045193,True
ETTh1,ETTh1__h5c_lr3p6e4,h5c_lr3p6e4,1.1077167960567518,,,2045193,True
ETTh1,ETTh1__h5c_lr3p8e4,h5c_lr3p8e4,1.1075633557260198,,,2045193,True
ETTh1,ETTh1__h5c_lr4e4,h5c_lr4e4,1.1080525620204826,,,2045193,True
ETTh1,ETTh1__h5c_lr4p2e4,h5c_lr4p2e4,1.1088555788148253,,,2045193,True
ETTh1,ETTh1__h5c_do0,h5c_do0,1.1070603169547024,,,2045193,True
ETTh1,ETTh1__h5c_do02,h5c_do02,1.1076378309116182,,,2045193,True
ETTh1,ETTh1__h5c_do04,h5c_do04,1.1074213775715585,,,2045193,True
ETTh1,ETTh1__h5c_do05,h5c_do05,1.1075186816975475,,,2045193,True
ETTh1,ETTh1__h5c_do06,h5c_do06,1.107112775658006,,,2045193,True
ETTh1,ETTh1__h5c_do08,h5c_do08,1.1079668616508282,,,2045193,True
ETTh1,ETTh1__h5c_do12,h5c_do12,1.1083440266697415,,,2045193,True
ETTh1,ETTh1__h5c_wd0,h5c_wd0,1.1079413990022629,,,2045193,True
ETTh1,ETTh1__h5c_wd1e4,h5c_wd1e4,1.107963379029007,,,2045193,True
ETTh1,ETTh1__h5c_wd1e3,h5c_wd1e3,1.1078900827220568,,,2045193,True
ETTh1,ETTh1__h5c_wd3e3,h5c_wd3e3,1.1078182849349336,,,2045193,True
ETTh1,ETTh1__h5c_wd3e2,h5c_wd3e2,1.107850185738847,,,2045193,True
ETTh1,ETTh1__h5c_rank64,h5c_rank64,1.1052054772454698,,,1403493,True
ETTh1,ETTh1__h5c_rank80,h5c_rank80,1.1050781790228072,,,1631653,True
ETTh1,ETTh1__h5c_rank96,h5c_rank96,1.099588644285945,,,1859813,True
ETTh1,ETTh1__h5c_rank128,h5c_rank128,1.111559611980042,,,2316133,True
ETTh1,ETTh1__h5c_rank160,h5c_rank160,1.1067465070823563,,,2772453,True
ETTh1,ETTh1__h5c_lr3p3_do05,h5c_lr3p3_do05,1.107498879975728,,,2045193,True
ETTh1,ETTh1__h5c_lr3p7_do05,h5c_lr3p7_do05,1.1073064373750683,,,2045193,True
ETTh1,ETTh1__h5c_lr4_do05,h5c_lr4_do05,1.1081014867788845,,,2045193,True
ETTh1,ETTh1__h5c_lr4p2_do05,h5c_lr4p2_do05,1.1087416526844858,,,2045193,True
ETTh1,ETTh1__h5c_lr4p2_do08,h5c_lr4p2_do08,1.1092582747451074,,,2045193,True
ETTh1,ETTh1__h5c_ctx608_p19_do05,h5c_ctx608_p19_do05,1.1060499653281155,,,1951369,True
ETTh1,ETTh1__h5c_ctx620_p20_do05,h5c_ctx620_p20_do05,1.1003159639309161,,,2045161,True
ETTh1,ETTh1__h5c_ctx660_p20_do05,h5c_ctx660_p20_do05,1.1057903887314116,,,2045225,True
ETTh1,ETTh1__h5c_ctx682_p22_do05,h5c_ctx682_p22_do05,1.1085852299576684,,,2232809,True
