origin,channel,visibility96,persistent_fraction96,gain_h96,gain_h192,gain_h336,gain_h720,mse_gain_1_96_h96,mae_gain_1_96_h96,mse_gain_1_96_h192,mae_gain_1_96_h192,mse_gain_1_96_h336,mae_gain_1_96_h336,mse_gain_1_96_h720,mae_gain_1_96_h720,mse_gain_97_192_h192,mae_gain_97_192_h192,mse_gain_97_192_h336,mae_gain_97_192_h336,mse_gain_97_192_h720,mae_gain_97_192_h720,mse_gain_193_336_h336,mae_gain_193_336_h336,mse_gain_193_336_h720,mae_gain_193_336_h720,mse_gain_337_720_h720,mae_gain_337_720_h720,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,min_segment_mse_gain,min_segment_mae_gain,min_prefix_mse_gain,fit_eligible,segment_eligible,prefix_eligible,eligible
3419,0,0.29328376527642597,0.9479166666666666,0.8180575817859662,0.8625510042016552,0.28623242053481346,0.7373359283283174,0.8180575817859662,0.5053491283326965,0.8380496363520569,0.5503629545868032,0.2692523854729314,0.1856808605396777,0.7459326572049207,0.3933578797775341,0.8848370694974902,0.6603638799245822,0.2675252466886112,0.1446545515410128,0.7519718031851044,0.4283052683752788,0.30114750942296886,0.22656559868186466,0.539570080115684,0.24158793282096513,0.7862952405738308,0.5097409393393413,0.7836671018410082,0.900928905519239,0.7949863950432311,0.12954526403202352,0.8265582415503979,0.9301390623413499,0.7354219881511902,0.02618577403231813,0.8228896300768889,0.9417052561143208,0.6892783339534533,0.014135355844161973,0.2675252466886112,0.1446545515410128,0.2692523854729314,True,True,True,True
3418,0,0.27664126814361917,0.9479166666666666,0.7943192929244002,0.8118038641419552,0.37248305718570707,0.7779115300529131,0.7943192929244002,0.46931857966065893,0.7738581914476357,0.45104526470693584,0.4282509164506685,0.27629173221890624,0.7620491594241992,0.4555982657244516,0.8468095948033848,0.6150318743813088,0.40766532325233984,0.2297937988139771,0.7883356953749029,0.47361553074548557,0.32300096602534256,0.24554269302895315,0.5981284467225776,0.25420511166140125,0.8251552636368454,0.5676125435089086,0.7857275457010656,0.9006443745652811,0.7964594074596076,0.12074036758354714,0.8279487381317783,0.9296705032700747,0.7403885229088979,0.022601735092845857,0.8222812431282223,0.940668305388095,0.6908245285003849,0.012397773347366692,0.32300096602534256,0.2297937988139771,0.4282509164506685,True,True,True,True
8897,4,0.24481271919818104,1.0,0.9672400541423456,0.8288850960055221,0.9085794763859357,0.7547694034232064,0.9672400541423456,0.8189677936169685,0.927242906867551,0.736385003330825,0.9775306018726317,0.8584231755216609,0.9417035262528035,0.7470012978981522,0.4388914359698334,0.2750170723771228,0.8895553048658397,0.7036101622236114,0.6941447328464252,0.476267056962299,0.8496643222490488,0.6504449050439438,0.6441052491495003,0.4230069718235373,0.7454913050683689,0.47115139502060843,0.8109072715569396,0.9020468162935203,0.8493132970247762,0.0006026390873045015,0.8043919134216364,0.9087543666953471,0.7660266561317692,0.032732036348275914,0.793727604636034,0.9320241535967024,0.6587568172973299,0.016321187562837507,0.4388914359698334,0.2750170723771228,0.927242906867551,True,True,True,True
8896,4,0.22676157294201307,0.8854166666666666,0.9607183327732923,0.8913854019137106,0.9156132910507047,0.7959236583668694,0.9607183327732923,0.8063045155802424,0.9424121394043087,0.7660291092068173,0.9727387296946204,0.842866398838329,0.9312354277686808,0.7305004862616922,0.6715212564656321,0.4431707539377253,0.9033294733743116,0.7242150679074135,0.7523660246507511,0.5331921102731457,0.8615445287573018,0.6724610877405242,0.7085266794709285,0.5017798323095501,0.7915812688763737,0.5391794706541675,0.8084174284768726,0.9016222369719235,0.847017891419427,0.03903325725796162,0.8068562919592471,0.9099971831564154,0.7643076837327311,0.003626451576948425,0.7906529843924808,0.931616664000094,0.6563348916499401,0.038426163768211154,0.6715212564656321,0.4431707539377253,0.9312354277686808,True,True,True,True
8856,4,0.2253576719777626,0.9270833333333334,0.8269749139770365,0.7854510295713333,0.7135965043711842,0.7452297648176633,0.8269749139770365,0.5423019094154291,0.8387288341471555,0.6269028448989262,0.9229058156514491,0.7454608127334313,0.9463050270189343,0.7885468918000255,0.6758480161011124,0.4406133110277479,0.6776986949847047,0.46782189061297474,0.8479277990971581,0.6505546725584752,0.3231278512642164,0.24729478494069423,0.5356563300506226,0.3911050310560177,0.6559026813190737,0.4355652194366414,0.8044236234232054,0.8976798123423806,0.8618198249202687,0.010930844703513456,0.8146952832745962,0.9130084152192341,0.7759803111727147,0.010601022967514062,0.7908023451737678,0.9105849225887473,0.7534054842094422,0.11686393893307383,0.3231278512642164,0.24729478494069423,0.8269749139770365,True,True,True,True
8895,4,0.21191603704331208,0.96875,0.9625591231836615,0.8950664473049899,0.9066656196382259,0.8186217711939461,0.9625591231836615,0.8155309863774034,0.9411466417777343,0.7692841134763371,0.97161445557834,0.8468677076662197,0.938867280568562,0.754651794945242,0.7201437531490855,0.506794260059502,0.8760056057513963,0.6897610121052559,0.7898930642443577,0.5839637548524503,0.8402335153072995,0.6530048726637852,0.7388580111850827,0.5374072169567007,0.8129502174671026,0.559462828966997,0.8104065720867205,0.9018622043513914,0.8630375794180809,0.03796724969783845,0.8124319326558224,0.9110634386088752,0.7784129289040579,0.002915268265065068,0.79812765447156,0.9302136792418774,0.6745462847469321,0.042473732698180305,0.7201437531490855,0.506794260059502,0.938867280568562,True,True,True,True
8801,4,0.20787567830166254,1.0,0.9030252215838861,0.7436668694015093,0.8092230543988884,0.7491575242418532,0.9030252215838861,0.6621211733710041,0.8029024487931711,0.5347499273330691,0.8881184992276598,0.6399185852535608,0.8708563195480433,0.6296392117941693,0.2978021993966762,0.0549336228147419,0.7545056683402038,0.5168002493734369,0.7570845894294037,0.5255314076431816,0.6980342383644993,0.4571804825690796,0.6776821660456507,0.4285548936347735,0.7219418340857247,0.49309074149726717,0.8003142476919165,0.9013948643468387,0.8989742603219154,0.11042008175641696,0.7754509349480394,0.8849466604205556,0.8161213809794945,0.054247006841986814,0.7233982980550017,0.8801504037681954,0.7879585657256464,0.20680207976868153,0.2978021993966762,0.0549336228147419,0.8029024487931711,True,True,True,True
8898,4,0.20469376702285558,1.0,0.9625870753748197,0.8346876951061019,0.8833242598913287,0.8009944231076316,0.9625870753748197,0.808710516466056,0.9274534476172404,0.7319330330210365,0.9717213780775726,0.8378219556470252,0.9505872718041725,0.7715493729872678,0.47496217026042586,0.2954754140180137,0.8387692092901239,0.6332901589265816,0.7687259251550513,0.56161001957102,0.8035860092440483,0.5825547403560846,0.7243801999112236,0.5106748971404149,0.7885685134439161,0.5243534708770854,0.8143817062034505,0.9043088649983607,0.8464099160165683,0.006366224782114374,0.8081845813925588,0.9114077812855135,0.7638074805337672,0.026338443636963926,0.7955203428872996,0.9338782487476581,0.6577375533761324,0.01882968285509205,0.47496217026042586,0.2954754140180137,0.9274534476172404,True,True,True,True
8906,4,0.20055055875146716,0.9479166666666666,0.9734998277101901,0.8906072409512031,0.8076655840942363,0.7413003905488225,0.9734998277101901,0.8368273184095756,0.9515753442965359,0.7637362607609716,0.9382360934757884,0.7473618162363982,0.8912784614458591,0.652953041888036,0.641895166494188,0.4220247886500995,0.7614470610118558,0.5333387192778769,0.6524879957379096,0.43295553754553096,0.7396212294130131,0.5087333499435334,0.6466625150653469,0.4464731241138411,0.7549480011167669,0.48016515159720785,0.8054789742161036,0.9024920708081455,0.8293433929269954,0.06051639926260174,0.8039785900753063,0.9120396885701384,0.7574212299532934,0.06269717463139478,0.8025367639539575,0.9377072519022187,0.6611945640782162,0.01728756166726159,0.641895166494188,0.4220247886500995,0.8912784614458591,True,True,True,True
8907,4,0.19899202201374944,0.9270833333333334,0.9761482809656423,0.8925952986632351,0.8050897068417076,0.7273285219952788,0.9761482809656423,0.8472564345714295,0.951857759400667,0.7766499257365099,0.9395668386849942,0.750728952174354,0.9075655372785998,0.6874187458636821,0.7052415243613921,0.5091566416299679,0.7447958090228055,0.5185614035272724,0.6252736808046225,0.42567434601938225,0.7416298015262213,0.4997029909884678,0.6446707807729015,0.4430827001412312,0.7313026353376448,0.4604200894527334,0.8099987265993576,0.9037692424683835,0.8278882277139769,0.03228294646341401,0.807657746469684,0.9127454411610162,0.7592147081692304,0.043299052155204916,0.8020737309192312,0.939572011157139,0.6570424272592028,0.029981118276321436,0.6252736808046225,0.42567434601938225,0.9075655372785998,True,True,True,True
