epoch,train_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.3250779151831838,0.6291121691465378,273,257,272,254,0.39412766695022583,0.42301350831985474,0.5234205722808838,0.48651617765426636,0.6580547094345093,0.5452866554260254,0.9408457279205322,0.6452323198318481
2,0.27045058243146,0.6929158791899681,265,233,261,297,0.4347563683986664,0.4468841850757599,0.5763188600540161,0.5128941535949707,0.7334094047546387,0.5780704021453857,1.0271788835525513,0.6789591908454895
3,0.2341568798927421,0.7216346263885498,245,286,251,274,0.4423409700393677,0.4493059813976288,0.5965363383293152,0.5211092233657837,0.7663313746452332,0.5916338562965393,1.0813298225402832,0.6991680860519409
4,0.20454684366951836,0.7576379999518394,245,296,270,245,0.4729973375797272,0.46283870935440063,0.6447083353996277,0.5398194789886475,0.8050435781478882,0.6066383719444275,1.1078027486801147,0.7074715495109558
5,0.18438736455881913,0.7545767575502396,267,257,267,265,0.4840226173400879,0.46821245551109314,0.6411821246147156,0.539962887763977,0.7949438095092773,0.6055951118469238,1.0981584787368774,0.7070921063423157
6,0.16763120799353629,0.7596758082509041,234,303,268,251,0.4937247931957245,0.47266632318496704,0.6472833752632141,0.5438840389251709,0.7976546287536621,0.6076721549034119,1.1000404357910156,0.7075747847557068
7,0.15673157170584257,0.7471649274230003,265,256,263,272,0.48432204127311707,0.4685137867927551,0.6362169981002808,0.5391263961791992,0.7832605838775635,0.6010573506355286,1.08486008644104,0.7004827857017517
8,0.1465833145969858,0.7751429826021194,263,268,257,268,0.5069050192832947,0.47950857877731323,0.6584936380386353,0.5493142604827881,0.8128128051757812,0.6126359701156616,1.1223604679107666,0.7143762111663818
9,0.13814096121032807,0.7860040217638016,264,273,257,262,0.5121172070503235,0.48070868849754333,0.676304042339325,0.5538275837898254,0.8323141932487488,0.6168311238288879,1.123280644416809,0.7119430899620056
10,0.13026816538309283,0.7747059911489487,267,276,268,245,0.5025244355201721,0.4772893786430359,0.6608019471168518,0.5491084456443787,0.8174180388450623,0.6122424602508545,1.1180795431137085,0.7110183835029602
11,0.12414533005688679,0.7758977860212326,286,267,254,249,0.5024808645248413,0.4776860177516937,0.6613226532936096,0.5503904819488525,0.8163512945175171,0.613994300365448,1.1234363317489624,0.7133707404136658
