short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.3199979337927357e-14,6.501176130768727e-08,0.0
192,720,1.3443011725219455e-14,6.564046373114252e-08,0.0
336,720,1.5494680530498718e-14,6.284673759182624e-08,0.0
