model,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,value_origin,system_role
TimeAlign,ETTm1,96,0.28,0.331,0.280,0.331,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm1,96,0.288,0.343,0.288,0.343,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm1,96,0.3,0.353,0.300,0.353,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm1,96,0.293,0.345,0.293,0.345,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm1,96,0.294,0.347,0.294,0.347,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm1,96,0.292,0.346,0.292,0.346,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm1,96,0.293,0.346,0.293,0.346,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm1,96,0.31,0.361,0.310,0.361,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm1,96,0.338,0.375,0.338,0.375,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm1,96,0.3,0.345,0.300,0.345,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm1,192,0.323,0.357,0.323,0.357,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm1,192,0.326,0.367,0.326,0.367,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm1,192,0.345,0.382,0.345,0.382,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm1,192,0.335,0.372,0.335,0.372,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm1,192,0.334,0.37,0.334,0.370,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm1,192,0.332,0.368,0.332,0.368,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm1,192,0.333,0.37,0.333,0.370,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm1,192,0.363,0.402,0.363,0.402,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm1,192,0.371,0.387,0.371,0.387,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm1,192,0.336,0.366,0.336,0.366,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm1,336,0.352,0.376,0.352,0.376,second,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm1,336,0.365,0.391,0.365,0.391,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm1,336,0.374,0.398,0.374,0.398,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm1,336,0.368,0.386,0.368,0.386,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm1,336,0.392,0.425,0.392,0.425,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm1,336,0.365,0.391,0.365,0.391,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm1,336,0.369,0.369,0.369,0.369,normal,best,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm1,336,0.389,0.43,0.389,0.430,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm1,336,0.41,0.411,0.410,0.411,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm1,336,0.367,0.386,0.367,0.386,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm1,720,0.408,0.409,0.408,0.409,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm1,720,0.412,0.413,0.412,0.413,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm1,720,0.429,0.43,0.429,0.430,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm1,720,0.426,0.417,0.426,0.417,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm1,720,0.421,0.419,0.421,0.419,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm1,720,0.416,0.417,0.416,0.417,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm1,720,0.416,0.42,0.416,0.420,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm1,720,0.6,0.547,0.600,0.547,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm1,720,0.478,0.45,0.478,0.450,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm1,720,0.419,0.416,0.419,0.416,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm2,96,0.157,0.244,0.157,0.244,best,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
