category,case,passed,value,threshold
gradient,common:second_backward,True,"{'loss': 0.9948893785476685, 'common': 4.847696618526243e-05, 'private': 7.1358161221724e-05, 'message_rms': 6.171585846459493e-05}",input gradients and message >0 after output step
gradient,post-synthesis:first_backward,True,"{'loss': 0.9925897717475891, 'output': 0.0035630997736006975, 'common': 0.0, 'private': 0.0}",output>0; inputs=0 at zero-output morph
gradient,post-synthesis:second_backward,True,"{'loss': 0.9925885200500488, 'common': 2.591336851764936e-05, 'private': 1.1638306204986293e-05, 'message_rms': 3.489999699013424e-06}",input gradients and message >0 after output step
model,iscf-v1-cpsi,True,"{'full_shape': (1, 720, 2), 'short_shape': (1, 96, 2), 'prefix_gap': 0.0, 'parent_hash': 'e9f3c1cb2c7442ff290ff403c96fb42fc2f3df3132a288f4c630bc8801529167', 'parameters': 1536}",production model integration
model,iscf-v1-cpsi-self,True,"{'full_shape': (1, 720, 2), 'short_shape': (1, 96, 2), 'prefix_gap': 0.0, 'parent_hash': 'e9f3c1cb2c7442ff290ff403c96fb42fc2f3df3132a288f4c630bc8801529167', 'parameters': 1536}",production model integration
model,iscf-v1-cpsi-linear,True,"{'full_shape': (1, 720, 2), 'short_shape': (1, 96, 2), 'prefix_gap': 0.0, 'parent_hash': 'e9f3c1cb2c7442ff290ff403c96fb42fc2f3df3132a288f4c630bc8801529167', 'parameters': 1536}",production model integration
model,iscf-v1-cpsi-common,True,"{'full_shape': (1, 720, 2), 'short_shape': (1, 96, 2), 'prefix_gap': 0.0, 'parent_hash': 'e9f3c1cb2c7442ff290ff403c96fb42fc2f3df3132a288f4c630bc8801529167', 'parameters': 1536}",production model integration
model,iscf-v1-cpsi-post,True,"{'full_shape': (1, 720, 2), 'short_shape': (1, 96, 2), 'prefix_gap': 0.0, 'parent_hash': 'e9f3c1cb2c7442ff290ff403c96fb42fc2f3df3132a288f4c630bc8801529167', 'parameters': 2160}",production model integration
cli,iscf-v1-cpsi,True,"{'rank': 32, 'mode_rank': 109, 'objective': 'equal_skill'}",frozen CLI contract
cli,iscf-v1-cpsi-self,True,"{'rank': 32, 'mode_rank': 109, 'objective': 'equal_skill'}",frozen CLI contract
cli,iscf-v1-cpsi-linear,True,"{'rank': 32, 'mode_rank': 109, 'objective': 'equal_skill'}",frozen CLI contract
cli,iscf-v1-cpsi-common,True,"{'rank': 32, 'mode_rank': 109, 'objective': 'equal_skill'}",frozen CLI contract
cli,iscf-v1-cpsi-post,True,"{'rank': 32, 'mode_rank': 109, 'objective': 'equal_skill'}",frozen CLI contract
profile_parameters,ETTh1,True,41856,41856
profile_parameters,ETTh2,True,44544,44544
profile_parameters,ETTm1,True,44544,44544
profile_parameters,ETTm2,True,40704,40704
profile_parameters,Weather,True,44544,44544
