length,global_rank,experts,a6_containment_max_abs,paired_atom_permutation_max_abs,prefix_cases,projective_coefficient_max_abs,projective_output_max_abs
16,4,2,1.0658141036401503e-14,3.552713678800501e-15,4,0.0,1.0658141036401503e-14
31,4,2,1.9539925233402755e-14,7.105427357601002e-15,4,7.105427357601002e-15,1.9539925233402755e-14
96,8,2,3.197442310920451e-14,1.0658141036401503e-14,5,0.0,3.197442310920451e-14
720,16,2,1.1368683772161603e-13,3.552713678800501e-14,9,7.105427357601002e-15,1.1723955140041653e-13
