epoch,train_loss,train_mse_loss,train_residual_loss,train_smoothness_loss,mse,mae
1,0.5452312472320738,0.5452312472320738,1.3563708299029162e-07,5.081428524516831e-08,0.28996914625167847,0.3690645694732666
2,0.4736452249307481,0.4736452249307481,9.39334357203806e-07,1.992708246595453e-07,0.28537869453430176,0.36729761958122253
3,0.4383780350760808,0.4383780350760808,1.738002213512248e-06,3.248306544239515e-07,0.29166853427886963,0.3686772286891937
4,0.4171162768015786,0.4171162768015786,1.452277777006534e-06,2.887590632496092e-07,0.2940458655357361,0.3681418299674988
5,0.4007022423403604,0.4007022423403604,1.5663506690630345e-06,3.0202336518861616e-07,0.28566282987594604,0.3636906147003174
6,0.3893538036989787,0.3893538036989787,1.5781522542677103e-06,3.068889574774764e-07,0.2892000079154968,0.36490535736083984
7,0.377479648779309,0.377479648779309,1.8552951471989101e-06,3.405538555918091e-07,0.2950625419616699,0.36647769808769226
8,0.3675245391944098,0.3675245391944098,2.312269596168046e-06,4.089373136132111e-07,0.29585501551628113,0.36653614044189453
9,0.3567907762905908,0.3567907762905908,2.8969594019318243e-06,4.620543774892992e-07,0.2962726354598999,0.36828911304473877
10,0.3470840075659373,0.3470840075659373,3.548885164462494e-06,5.10005404539553e-07,0.30349141359329224,0.3719445466995239
11,0.3394355911111075,0.3394355911111075,4.657950122626582e-06,6.174871916502727e-07,0.30134475231170654,0.371652752161026
12,0.3296532460621425,0.3296532460621425,5.455397246213766e-06,6.727190233440134e-07,0.294895201921463,0.37007349729537964
