dataset,variant,target_horizon,mse,mae,source_path,a6_lbf_r256_mse,a6_der_mse,best_stage_control_mse,best_stage_control_name,relative_mse_vs_a6_lbf_r256_pct,relative_mse_vs_a6_der_pct,relative_mse_vs_best_stage_control_pct,beats_best_stage_control
ETTh2,a6st_w005_d0999_wu1,96,0.2403799593448639,0.3131044805049896,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w005_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-0.6959325386443282,-0.9818382903613143,-0.034739538974215556,True
ETTh2,a6st_w005_d0999_wu1,192,0.2801887691020965,0.3439564704895019,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w005_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-0.9253601866337835,-1.0029980536659377,1.0667854611619454,False
ETTh2,a6st_w005_d0999_wu1,336,0.3094448149204254,0.369596004486084,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w005_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-1.088053370609643,-0.8572783344033663,2.261992134393709,False
ETTh2,a6st_w005_d0999_wu1,720,0.3917539417743683,0.4288423657417297,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w005_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.6137263052713227,-0.46377763267898553,1.9393008519265953,False
ETTh2,a6st_w01_d0995_wu1,96,0.2401464432477951,0.3126301765441894,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0995_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-0.7924010559027139,-1.078029065683761,-0.13185036938181405,True
ETTh2,a6st_w01_d0995_wu1,192,0.2792213857173919,0.343016654253006,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0995_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-1.2674265753337521,-1.3447963888574388,0.7178409645143935,False
ETTh2,a6st_w01_d0995_wu1,336,0.3084026575088501,0.368902325630188,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0995_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3128487765789032,0.3121205568313598,0.3026000261306762,a3d_w03,-1.4211719536425083,-1.1911741284373334,1.9175911689009784,False
ETTh2,a6st_w01_d0995_wu1,720,0.3907694518566131,0.4278883337974548,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0995_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.3941730856895447,0.3935792744159698,0.3843011856079101,a3d_w03,-0.8634871219016516,-0.7139152750169964,1.6831241981393186,False
ETTh2,a6st_w01_d0999_wu1,96,0.2391512989997863,0.3122374713420868,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2420645654201507,0.2427635043859481,0.2404634952545166,a3e_best,-1.203508004283016,-1.4879523984870024,-0.5456945776078914,True
ETTh2,a6st_w01_d0999_wu1,192,0.2782802581787109,0.3427673578262329,analysis/phase5_timealign_hss_a6st_self_teacher_gate_20260704/raw/official-last/TimeAlignOfficialUnified720_A6S_a6st_w01_d0999_wu1_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.2828057408332824,0.2830275297164917,0.2772313058376312,h1_target_set,-1.6002089070884074,-1.677317942369827,0.3783672042052988,False
